char,movie,mbti,votes
Peter Parker “Spider-Man”,The Spider-Man Trilogy (2002),INFP,2200
Terence Fletcher,Whiplash (2014),ENTJ,2200
Vanellope Von Schweetz,Wreck-It Ralph (Franchise),ESTP,2200
Amélie Poulain,Amélie (2001),INFP,2100
Cinderella,Cinderella (1950),ISFJ,2100
Neil Perry,Dead Poets Society (1989),ENFJ,2100
Alberto Scorfano,Luca (2021),ESTP,2100
"Bruce Banner ""Hulk""",MCU,INTP,2100
Violet Parr,The Incredibles (Franchise),INFP,2100
Andrew Neiman,Whiplash (2014),ISFP,2100
John Wick,John Wick,ISTP,2000
Luca Paguro,Luca (2021),INFP,2000
Vision,MCU,INFJ,2000
Amber Freeman,Scream (Franchise),ENTP,2000
Emperor Kuzco,The Emperor's New Groove (2000),ENTP,2000
Aragorn,The Lord of the Rings (Film Trilogy),INFJ,2000
Charlie Kelmeckis,The Perks of Being a Wallflower (2012),INFP,2000
Felonius Gru,Despicable Me (Franchise),INTJ,1900
Donnie Darko,Donnie Darko (2001),INTP,1900
Alma “Abuela” Madrigal,Encanto (2021),ISTJ,1900
Hans Westergaard,Frozen (Franchise),ENFJ,1900
Lisa Rowe,"Girl, Interrupted (1999)",ESTP,1900
Will Hunting,Good Will Hunting (1997),INTP,1900
Veronica Sawyer,Heathers (1989),INFJ,1900
"Christine ""Lady Bird"" McPherson",Lady Bird (2017),ENFP,1900
Skipper,Madagascar (Franchise),ENTJ,1900
"Scott Lang ""Ant-Man""",MCU,ENTP,1900
Anton Chigurh,No Country for Old Men (2007),INTP,1900
Elizabeth Bennet,Pride and Prejudice (2005),ENFP,1900
Princess Aurora,Sleeping Beauty (1959),INFP,1900
Edward Cullen,Twilight (Franchise),INFJ,1900
Kiri,Avatar (Franchise),INFP,1800
The Beldam “Other Mother”,Coraline (2009),ENFJ,1800
John Keating,Dead Poets Society (1989),ENFP,1800
Dolores Madrigal,Encanto (2021),ISFP,1800
Bucky Barnes “Winter Soldier”,MCU,ISTP,1800
"Carol Danvers ""Captain Marvel""",MCU,ESFP,1800
Quentin Beck “Mysterio”,MCU,ENFJ,1800
"Louis ""Lou"" Bloom",Nightcrawler (2014),ENTJ,1800
Donkey,Shrek (Franchise),ESFP,1800
Allison Reynolds,The Breakfast Club (1985),ISFP,1800
Frodo Baggins,The Lord of the Rings (Film Trilogy),INFP,1800
Jack Skellington,The Nightmare Before Christmas (1993),ENTP,1800
Elio Perlman,Call Me by Your Name (2017),INFP,1700
Frank Abagnale Jr.,Catch Me If You Can (2002),ENTP,1700
Edward Scissorhands,Edward Scissorhands (1990),INFP,1700
"Newton ""Newt"" Scamander",Fantastic Beasts,INFP,1700
Fear,Inside Out (Franchise),ISFJ,1700
Tigress,Kung Fu Panda (Franchise),ISTJ,1700
Giulia Marcovaldo,Luca (2021),ESFP,1700
Mike Wazowski,"Monsters, Inc. (2001)",ENTJ,1700
Peter B. Parker “Spider-Man”,Spider-Man: Into the Spider-Verse (2018),INTP,1700
"Coriolanus ""Coryo"" Snow",The Ballad of Songbirds and Snakes (2023),ENTJ,1700
Rose Dewitt Bukater,Titanic (1997),ISFP,1700
Miriam Mendelsohn,Turning Red (2022),ENFJ,1700
Carl Fredricksen,Up (2009),ISTJ,1700
Patrick Verona,10 Things I Hate About You (1999),ISTP,1600
Beast,Beauty and the Beast (Franchise),ISFP,1600
Oliver,Call Me by Your Name (2017),ENFJ,1600
Wade Ripple,Elemental,ESFJ,1600
Enola Holmes,Enola Holmes (2020),ENFP,1600
Dolores Umbridge,Harry Potter / Wizarding World Films,ESTJ,1600
Bellatrix Lestrange,Harry Potter / Wizarding World Films,ESFP,1600
Hans Landa,Inglourious Basterds (2009),ENTP,1600
Master Oogway,Kung Fu Panda (Franchise),INFJ,1600
Tai Lung,Kung Fu Panda (Franchise),ISTP,1600
Yelena Belova,MCU,ESFP,1600
Fitzwilliam Darcy,Pride and Prejudice (2005),INTJ,1600
John Kramer “Jigsaw”,Saw Series (2004),INFJ,1600
Kitty Softpaws,Shrek (Franchise),ISTP,1600
Snow White,Snow White and the Seven Dwarfs (1937),ESFJ,1600
Padmé Amidala,Star Wars,ENFJ,1600
Selina Kyle “Catwoman”,The Batman (2022),ESFP,1600
Neo,The Matrix Trilogy,INTP,1600
Jordan Belfort,The Wolf of Wall Street (2013),ESTP,1600
