,genre_ids,id,popularity,release_date,title,vote_average,vote_count
71,"[10751, 16, 35, 12]",82690,92.822,2012-11-01,Wreck-It Ralph,7.337,11968
72,"[18, 10751]",480651,13.913,2017-10-11,Seven Sundays,8.1,11
73,"[16, 28, 14]",810693,80.986,2021-12-24,Jujutsu Kaisen 0,8.198,1279
74,"[9648, 53, 18]",210577,114.341,2014-10-01,Gone Girl,7.892,18095
75,"[16, 12, 28, 14, 10402]",900667,70.332,2022-08-06,One Piece Film Red,7.3,901
76,"[12, 9648, 80]",497582,44.149,2020-09-23,Enola Holmes,7.288,5830
77,"[18, 10751]",480651,13.913,2017-10-11,Seven Sundays,8.1,11
78,"[35, 12]",346698,569.353,2023-07-19,Barbie,7.1,8238
79,"[27, 53, 28, 12]",396535,89.327,2016-07-20,Train to Busan,7.752,7096
80,[18],316029,105.261,2017-12-20,The Greatest Showman,7.9,9138
81,"[12, 878, 28]",299534,240.886,2019-04-24,Avengers: Endgame,8.255,24868
82,"[12, 14]",671,200.839,2001-11-16,Harry Potter and the Philosopher's Stone,7.913,26544
83,"[18, 10749]",331482,63.688,2019-12-25,Little Women,7.885,6037
84,"[18, 10749]",153,99.476,2003-09-18,Lost in Translation,7.395,7058
85,"[12, 14]",675,121.808,2007-07-08,Harry Potter and the Order of the Phoenix,7.7,18906
86,"[27, 18, 9648]",530385,62.694,2019-07-03,Midsommar,7.162,6729
87,"[10749, 18]",43949,41.596,2010-08-06,Flipped,8.003,2835
88,[35],133688,7.773,2003-12-25,Crying Ladies,4.7,7
89,"[53, 18, 9648]",434376,6.112,2017-08-16,Birdshot,6.3,30
90,"[16, 12, 35, 10751, 14]",228326,48.689,2014-10-01,The Book of Life,7.543,2570
91,"[35, 18, 10749]",13971,46.562,2008-08-15,Wild Child,6.717,1798
92,"[18, 16, 10749, 10752]",149870,57.641,2013-07-20,The Wind Rises,7.8,2863
93,"[10749, 14, 10751, 18]",150689,117.491,2015-03-06,Cinderella,6.813,6906
94,"[10749, 10751, 16, 14]",10020,88.646,1991-10-22,Beauty and the Beast,7.735,9631
95,"[16, 10751, 14]",129,123.774,2001-07-20,Spirited Away,8.537,15912
96,"[35, 10751, 10749]",9880,57.067,2001-08-03,The Princess Diaries,6.951,4770
97,"[10749, 18]",1029484,5.774,2023-03-03,"And Yet, You Are So Sweet",6.0,1
98,[35],673593,155.458,2024-01-10,Mean Girls,6.115,375
99,"[10751, 14, 12]",12155,91.75,2010-03-03,Alice in Wonderland,6.6,13563
100,"[16, 10751, 12, 14]",109445,107.936,2013-11-20,Frozen,7.2,16069
101,"[16, 35, 10751, 14]",568124,150.981,2021-10-13,Encanto,7.6,9159
102,"[16, 12, 10751, 35]",269149,146.974,2016-02-11,Zootopia,7.747,15827
103,"[16, 10751, 35, 14]",508947,537.84,2022-03-10,Turning Red,7.389,4947
104,"[35, 12]",346698,569.353,2023-07-19,Barbie,7.1,8238
105,"[12, 10751, 16, 28, 35]",177572,131.083,2014-10-24,Big Hero 6,7.7,15202
106,"[878, 12, 14]",70160,50.003,2012-03-12,The Hunger Games,7.2,21435
107,"[80, 35, 28]",402900,264.966,2018-06-07,Ocean's Eight,6.985,8079
