char,movie,mbti,votes
Ji-shin,The Divine Fury (2019),XXXX,3 Pdb Votes
Joe Yoo,May December,XXXX,67 Pdb Votes
Ben Reilly “Scarlet Spider”,Spider-Man: Across the Spider-Verse (2023),ISFP,170 Pdb Votes
Twitch,How to Eat Fried Worms (2006),ISFP,4 Pdb Votes
Lorraine Day,X (2022),ISFP,331 Pdb Votes
Amleth,The Northman (2022),ISFP,244 Pdb Votes
Raquel,Through My Window (a través de mi ventana),ISFP,157 Pdb Votes
Viscount Tewksbury,Enola Holmes (2020),ISFP,545 Pdb Votes
Maud,Anna (2019),ISFP,36 Pdb Votes
Elizabeth “Beth” Macintyre / The Dying Swan,Black Swan (2010),ISFP,272 Pdb Votes
Joe Gardner,Soul (2020),ISFP,1.1k Pdb Votes
Kate Macer,Sicario (2015),ISFP,48 Pdb Votes
Johanna,Terkel in Trouble (Terkel i knibe; 2004),ISFP,21 Pdb Votes
Benjamin Button,The Curious Case of Benjamin Button (2008),ISFP,146 Pdb Votes
Div,Alvin And The Chipmunks (2007),ISFP,202 Pdb Votes
Eli Sisters,The Sisters Brothers (2018),ISFP,42 Pdb Votes
Genevieve,Barbie In The 12 Dancing Princesses (2006),ISFP,158 Pdb Votes
Princess Alexa (Teresa),Barbie and the Diamond Castle (2008),ISFP,213 Pdb Votes
Dre Parker,The Karate Kid (2010),XXXX,274 Pdb Votes
Peter Graham,Hereditary (2018),ISFP,314 Pdb Votes
Stevie,Mid90s (2018),ISFP,161 Pdb Votes
Phillip Carlyle,The Greatest Showman (2017),ISFP,217 Pdb Votes
Eric Draven,The Crow (1994),ISFP,301 Pdb Votes
Bud White,L.A. Confidential (1997),ISFP,65 Pdb Votes
Jacob Black,Twilight (Franchise),ISFP,640 Pdb Votes
Miles “Baby”,Baby Driver (2017),ISFP,483 Pdb Votes
Éowyn,The Lord of the Rings (Film Trilogy),ISFP,528 Pdb Votes
Adonis Johnson Creed,Creed (Franchise),ISFP,210 Pdb Votes
Rocky Balboa,Rocky,ISFP,464 Pdb Votes
Rubeus Hagrid,Harry Potter / Wizarding World Films,ISFP,942 Pdb Votes
Beatrice “Tris” Prior,Divergent (2014),ISFP,648 Pdb Votes
Patriot,Horror,ISFP,15 Pdb Votes
Bibi,Aavesham (2024),ISFP,3 Pdb Votes
Signe,Sick of Myself,ISFP,9 Pdb Votes
Nel,Piep*zyć Mickiewicza,ISFP,6 Pdb Votes
Bambi,Wish (2023),XXXX,7 Pdb Votes
Ruth Scott,Leave the World Behind,ISFP,76 Pdb Votes
Janis,Mean Girls (2024),ISFP,85 Pdb Votes
Simon,Wish (2023),ISFP,47 Pdb Votes
Katie Davis (Present),Fathers and Daughters,ISFP,4 Pdb Votes
Eric,The Little Mermaid (2023 film),ISFP,415 Pdb Votes
Brandon Wallace,What Men Want (2019),INFP,9 Pdb Votes
Jobu Tupaki,Everything Everywhere All At Once,ISFP,1k Pdb Votes
Joy Wang,Everything Everywhere All At Once,ISFP,427 Pdb Votes
Anne de Bourgh,Pride and Prejudice (2005),ISFP,18 Pdb Votes
Bee,Bodies Bodies Bodies,ISFP,80 Pdb Votes
Noa,Fresh (2022),ISFP,137 Pdb Votes
Eivind,The Worst Person in the World (2021),ISFP,67 Pdb Votes
Takayuki Higurashi,One Cut of the Dead,ISFP,13 Pdb Votes
Magali,Turma da Mônica,ISFP,96 Pdb Votes
Cassie Sullivan,The 5th Wave (2016),ISFP,54 Pdb Votes
Justin Finch-Fletchley,Harry Potter / Wizarding World Films,XXXX,21 Pdb Votes
Zoey Stevens,Zapped,ISFP,85 Pdb Votes
Mi-Soo,Tune in for Love (2019),ISFP,22 Pdb Votes
Rachel Lane,World War Z (2013),ISFP,4 Pdb Votes
Harland Sanders,A Recipe for Seduction (2020),ISFP,4 Pdb Votes
Boku,The World Of Kanako (2014),ISFP,33 Pdb Votes
Wendy,Mysterious Skin (2004),ISFP,117 Pdb Votes
Anthony Swofford,Jarhead,ISFP,33 Pdb Votes
John Hirschfelder,Dazed and Confused (1993),ISFP,13 Pdb Votes
Emmeline Lestrange,The Blue Lagoon (1980),ISFP,76 Pdb Votes
Ronald Kray,Legend (2015),ISFP,116 Pdb Votes
Antonio Pérez,Despicable Me (Franchise),ISFP,210 Pdb Votes
Alice Kepley,How to Be Single (2016),ISFP,33 Pdb Votes
Angel Face,Fight Club (1999),ISFP,78 Pdb Votes
Shira,Ice Age (Franchise),ISFP,341 Pdb Votes
Cha Tae-Sik,The Man from Nowhere (2010),ISFP,37 Pdb Votes
Jamie Lloyd,"Halloween 4,5,6 Timeline",ISFP,16 Pdb Votes
Tinker Bell,Peter Pan (2003),ISFP,32 Pdb Votes
Dylan Mee,We Bought A Zoo,ISFP,40 Pdb Votes
Emily,Palo Alto (2013),ISFP,75 Pdb Votes
Heather Miller / Eidith Rose Sawyer,The Texas Chainsaw Massacre (Franchise),ISFP,55 Pdb Votes
Frank Serpico,Serpico,ISFP,67 Pdb Votes
Jasmine Bryant,A Fall from Grace (2020),XXXX,6 Pdb Votes
Louis XVI of France,Marie Antoinette (2006),ISFP,85 Pdb Votes
Panic,Hercules (franchise),ISFP,54 Pdb Votes
Hardin Scott,After (Film Trilogy),ISFP,316 Pdb Votes
Ginger Fitzgerald,Ginger Snaps (2000-2004),ISFP,389 Pdb Votes
King Stefan,Sleeping Beauty (1959),ISFP,43 Pdb Votes
Jodi Kreyman,Tall Girl (2019),ISFP,180 Pdb Votes
Rosella,Barbie as the Island Princess (2007),ISFP,155 Pdb Votes
Kim Ki-woo,Parasite (2019),ISFP,627 Pdb Votes
Maggie Fitzgerald,Million Dollar Baby (2004),ISFP,77 Pdb Votes
Suki,The Fast and the Furious (Film Franchise),ISFP,93 Pdb Votes
Enid Coleslaw,Ghost World (2001),ISFP,236 Pdb Votes
Vee,Nerve (2016),ISFP,162 Pdb Votes
Regan Abbott,A Quiet Place (2018),ISFP,172 Pdb Votes
Charlie Watson,Bumblebee (2018),ISFP,152 Pdb Votes
"Broomhilda ""Hildi"" von Shaft",Django Unchained (2012),ISFP,82 Pdb Votes
Heimlich,A Bug's Life (1998),ISFP,69 Pdb Votes
Jovie,Elf (2003),ISFP,179 Pdb Votes
Beca Mitchell,Pitch Perfect (Series),ISFP,484 Pdb Votes
Jesse Aarons,Bridge to Terabithia (2007),ISFP,307 Pdb Votes
Ash,Sing (Franchise),ISFP,253 Pdb Votes
Fillmore,Cars (Franchise),ISFP,88 Pdb Votes
"Jeffrey ""The Dude"" Lebowski",The Big Lebowski (1998),ISFP,505 Pdb Votes
Ally Maine,A Star is Born (2018),ISFP,180 Pdb Votes
Nic Sheff,Beautiful Boy (2018),ISFP,266 Pdb Votes
Nam Sook-Hee,The Handmaiden (2016),ISFP,323 Pdb Votes
"Randall ""Pink"" Floyd",Dazed and Confused (1993),ISFP,83 Pdb Votes
Mr. Orange,Reservoir Dogs (1992),ISFP,225 Pdb Votes
Princess Ann,Roman Holiday (1953),ISFP,115 Pdb Votes
Freddie Quell,The Master (2012),ISFP,137 Pdb Votes
Tai Frasier,Clueless (1995),ISFP,329 Pdb Votes
John Connor,Terminator,ISFP,162 Pdb Votes
Marion Crane,Psycho (Franchise),ISFP,95 Pdb Votes
Miranda Navas,Wonder (2017),ISFP,156 Pdb Votes
Bonnie Harper,The Craft (1996),ISFP,204 Pdb Votes
Sleepy,Snow White and the Seven Dwarfs (1937),ISFP,121 Pdb Votes
Noah Calhoun,The Notebook (2004),ISFP,359 Pdb Votes
Knox Overstreet,Dead Poets Society (1989),ISFP,302 Pdb Votes
Dorothy Vallens,Blue Velvet (1986),ISFP,97 Pdb Votes
Ted Wiggins,The Lorax (2012),ISFP,212 Pdb Votes
Jim,28 Days Later (2002),ISFP,87 Pdb Votes
Brick Tamland,Anchorman (2004),ISFP,52 Pdb Votes
Charles Delgado,Lemonade Mouth (2011),ISFP,88 Pdb Votes
