char,movie,mbti,votes
Henry Balkan,The Spider-Man Trilogy (2002),ISTJ,18 Pdb Votes
Mendel Stromm,The Spider-Man Trilogy (2002),INTP,14 Pdb Votes
General Slocum,The Spider-Man Trilogy (2002),ESTJ,14 Pdb Votes
The French Maitre,The Spider-Man Trilogy (2002),ESFJ,36 Pdb Votes
Snooty Usher,The Spider-Man Trilogy (2002),ISTJ,29 Pdb Votes
Ring Announcer,The Spider-Man Trilogy (2002),ENTP,29 Pdb Votes
"Aleksei Sytsevich ""Rhino""",The Amazing Spider-Man Duology,ESTP,59 Pdb Votes
Patrick Mulligan,Venom (2018),ISTP,30 Pdb Votes
Frances Barrison / Shriek,Venom (2018),ESFP,23 Pdb Votes
Dan Lewis,Venom (2018),ISFJ,42 Pdb Votes
Mary Jane Parker,Spider-Man: Into the Spider-Verse (2018),ISFJ,43 Pdb Votes
Mr. Aziz,The Spider-Man Trilogy (2002),ISTJ,47 Pdb Votes
"Joseph ""Robbie"" Robertson",The Spider-Man Trilogy (2002),ISFJ,29 Pdb Votes
Ted Hoffman,The Spider-Man Trilogy (2002),INTP,76 Pdb Votes
Betty Brant,The Spider-Man Trilogy (2002),ESFJ,10 Pdb Votes
Bone Saw McGraw,The Spider-Man Trilogy (2002),ESTP,95 Pdb Votes
Dr. Curt Connors,The Spider-Man Trilogy (2002),ISTJ,93 Pdb Votes
Riot,Venom (2018),ENTJ,161 Pdb Votes
Donald Menken,The Amazing Spider-Man Duology,ISTJ,263 Pdb Votes
"Gwendolyn ""Gwen"" Stacy",The Spider-Man Trilogy (2002),ENFJ,262 Pdb Votes
May Parker,Spider-Man: Into the Spider-Verse (2018),INFJ,0
Peter Porker “Spider-Ham”,Spider-Man: Into the Spider-Verse (2018),ENFP,0
Wilson Fisk “Kingpin”,Spider-Man: Into the Spider-Verse (2018),ENTJ,0
Carlton Drake,Venom (2018),ENTJ,0
Peter Maximoff “Quicksilver”,X-Men Cinematic Universe (2011-2020),ENTP,1.3k Pdb Votes
Wade Wilson “Deadpool”,Deadpool (2016),ENTP,3k Pdb Votes
"Logan ""Wolverine""",X-Men Cinematic Universe (2000-2009),ISTP,1.2k Pdb Votes
Erik Lehnsherr/Magneto (First Class),X-Men Cinematic Universe (2011-2020),INTJ,891 Pdb Votes
Charles Xavier (First Class),X-Men Cinematic Universe (2011-2020),INFJ,956 Pdb Votes
Vanessa Carlysle,Deadpool (2016),INFJ,309 Pdb Votes
Charles Xavier “Professor X”,X-Men Cinematic Universe (2000-2009),INFJ,594 Pdb Votes
Jean Grey (Phoenix),X-Men Cinematic Universe (2000-2009),ENFJ,262 Pdb Votes
Erik Lehnsherr “Magneto”,X-Men Cinematic Universe (2000-2009),INTJ,821 Pdb Votes
Yukio,Deadpool (2016),ENFP,112 Pdb Votes
Raven Darkhölme/Mystique (First Class),X-Men Cinematic Universe (2011-2020),ESFP,261 Pdb Votes
Wade Wilson “Deadpool”,X-Men Cinematic Universe (2000-2009),ENTP,69 Pdb Votes
Danielle Moonstar “Mirage”,X-Men Cinematic Universe (2011-2020),INFP,99 Pdb Votes
Kayla Silverfox,X-Men Cinematic Universe (2000-2009),ENFJ,20 Pdb Votes
Illyana Rasputin “Magik”,X-Men Cinematic Universe (2011-2020),ENTP,421 Pdb Votes
"Norin Radd ""Silver Surfer""",Fantastic Four (2005),INFP,42 Pdb Votes
"Johnny Storm ""Human Torch""",Fantastic Four (2005),ESTP,113 Pdb Votes
Sebastian Shaw,X-Men Cinematic Universe (2011-2020),ENTJ,105 Pdb Votes
Vuk,X-Men Cinematic Universe (2011-2020),INTJ,42 Pdb Votes
Donald Pierce,X-Men Cinematic Universe (2011-2020),ESTP,49 Pdb Votes
Victor Creed “Sabretooth”,X-Men Cinematic Universe (2000-2009),ESTP,55 Pdb Votes
Remy LeBeau “Gambit”,X-Men Cinematic Universe (2000-2009),ESTP,64 Pdb Votes
Laura Kinney “X-23”,X-Men Cinematic Universe (2011-2020),ISTP,147 Pdb Votes
Francis Freeman “Ajax”,Deadpool (2016),ISTP,202 Pdb Votes
Hank McCoy “Beast”,X-Men Cinematic Universe (2011-2020),INTP,272 Pdb Votes
Emma Frost,X-Men Cinematic Universe (2011-2020),ENTJ,165 Pdb Votes
Negasonic Teenage Warhead,Deadpool (2016),ISTP,154 Pdb Votes
Pietr Rasputin “Colossus”,Deadpool (2016),ISFJ,200 Pdb Votes
Raven Darkhölme “Mystique”,X-Men Cinematic Universe (2000-2009),ISTP,192 Pdb Votes
Lady Deathstrike,X-Men Cinematic Universe (2000-2009),ISTJ,15 Pdb Votes
John Wraith,X-Men Cinematic Universe (2000-2009),ESFJ,8 Pdb Votes
Chris Bradley,X-Men Cinematic Universe (2000-2009),INFP,11 Pdb Votes
"Roberto Da Costa ""Sunspot""",X-Men Cinematic Universe (2011-2020),ESFP,42 Pdb Votes
"Sam Guthrie ""Cannonball""",X-Men Cinematic Universe (2011-2020),INFP,50 Pdb Votes
X-24 (Wolverine Clone),X-Men Cinematic Universe (2011-2020),ISTP,39 Pdb Votes
Mariko Yashida,X-Men Cinematic Universe (2011-2020),ISFP,10 Pdb Votes
Caliban,X-Men Cinematic Universe (2011-2020),INTP,42 Pdb Votes
"Victor von Doom ""Doctor Doom""",Fantastic Four (2005),ENTJ,64 Pdb Votes
William Stryker,X-Men Cinematic Universe (2000-2009),ESTJ,33 Pdb Votes
Jean Grey (First Class),X-Men Cinematic Universe (2011-2020),ISFP,186 Pdb Votes
Jamie Madrox “Multiple Man”,X-Men Cinematic Universe (2000-2009),ESTP,17 Pdb Votes
"Cain Marko ""Juggernaut""",X-Men Cinematic Universe (2000-2009),ESTP,32 Pdb Votes
Firefist,Deadpool (2016),ISFP,180 Pdb Votes
Weasel,Deadpool (2016),ENTP,120 Pdb Votes
Kurt Wagner “Nightcrawler”,X-Men Cinematic Universe (2011-2020),INFP,141 Pdb Votes
Anna Marie “Rogue”,X-Men Cinematic Universe (2000-2009),INFP,213 Pdb Votes
Scott Summers “Cyclops”,X-Men Cinematic Universe (2000-2009),ISTJ,176 Pdb Votes
Armando Muñoz “Darwin”,X-Men Cinematic Universe (2011-2020),XXXX,1 Pdb Vote
Elektra,Deadpool 3,XXXX,3 Pdb Votes
 ,New Mutants (2020),XXXX,14 Pdb Votes
"Cain Marko ""Juggernaut""",Deadpool (2016),ESTP,7 Pdb Votes
General Hager,Fantastic Four (2005),XXXX,2 Pdb Votes
Ned Cecil,Fantastic Four (2005),XXXX,2 Pdb Votes
Nurse Kelly,Fantastic Four (2005),XXXX,8 Pdb Votes
Willie Lumpkin,Fantastic Four (2005),XXXX,10 Pdb Votes
Axel “Zeitgeist” Cluney,Deadpool (2016),XXXX,13 Pdb Votes
Vanisher,Deadpool (2016),INTP,8 Pdb Votes
Rusty “Shatterstar”,Deadpool (2016),ESFP,4 Pdb Votes
Jesse “Bedlam” Aaronson,Deadpool (2016),ESTP,8 Pdb Votes
Peter W. “Sugarbear”,Deadpool (2016),ESFJ,10 Pdb Votes
Peter Rasputin “Colossus”,X-Men Cinematic Universe (2000-2009),ISFJ,8 Pdb Votes
Lucas Bishop “Bishop”,X-Men Cinematic Universe (2011-2020),INFJ,8 Pdb Votes
Toad,X-Men Cinematic Universe (2000-2009),ESTP,25 Pdb Votes
Sentinels,X-Men Cinematic Universe (2011-2020),ISTP,42 Pdb Votes
Deadpool (Movie Series),Deadpool (2016),ENTP,58 Pdb Votes
Agent Zero,X-Men Cinematic Universe (2000-2009),ISTP,11 Pdb Votes
Chris Bradley,X-Men Cinematic Universe (2011-2020),INFP,17 Pdb Votes
Janos Quested “Riptide”,X-Men Cinematic Universe (2011-2020),ISTJ,10 Pdb Votes
Azazel,X-Men Cinematic Universe (2011-2020),ISTP,31 Pdb Votes
Dr. Cecilia Reyes,X-Men Cinematic Universe (2011-2020),ISFJ,54 Pdb Votes
"Rahne Sinclair ""Wolfsbane""",X-Men Cinematic Universe (2011-2020),ISFP,21 Pdb Votes
"Franklin ""Foggy"" Nelson",Daredevil (2003),ENTP,11 Pdb Votes
Bullseye,Daredevil (2003),ESTP,41 Pdb Votes
Wilson Fisk / Kingpin,Daredevil (2003),ENTJ,10 Pdb Votes
Elektra Natchios,Daredevil (2003),ISFP,5 Pdb Votes
Matt Murdock / Daredevil,Daredevil (2003),INTJ,36 Pdb Votes
Senator Robert Kelly,X-Men Cinematic Universe (2000-2009),ESTJ,19 Pdb Votes
Blob,X-Men Cinematic Universe (2011-2020),ISFP,20 Pdb Votes
"Sean Cassidy ""Banshee""",X-Men Cinematic Universe (2011-2020),ESFP,16 Pdb Votes
Dr. Zander Rice,X-Men Cinematic Universe (2011-2020),ESTJ,51 Pdb Votes
Dr Harvey Allen,Fantastic Four (2015),XXXX,15 Pdb Votes
Dr Franklin Storm,Fantastic Four (2015),ENFJ,2 Pdb Votes
Victor von Doom “Doctor Doom”,Fantastic Four (2015),INTJ,6 Pdb Votes
"Ben Grimm ""The Thing""",Fantastic Four (2015),ISTP,12 Pdb Votes
"Sue Storm ""Invisible Woman""",Fantastic Four (2015),INFJ,8 Pdb Votes
"Johnny Storm ""Human Torch""",Fantastic Four (2015),ESTP,36 Pdb Votes
"Reed Richards ""Mr Fantastic""",Fantastic Four (2015),INTP,7 Pdb Votes
Alicia Masters,Fantastic Four (2005),ENFJ,24 Pdb Votes
Captain Frankie Raye,Fantastic Four (2005),ISTJ,50 Pdb Votes
Noburo Mori,X-Men Cinematic Universe (2011-2020),INTP,47 Pdb Votes
Ichirō Yashida “Silver Samurai”,X-Men Cinematic Universe (2011-2020),ENTJ,53 Pdb Votes
Shingen Yashida,X-Men Cinematic Universe (2011-2020),ESTJ,90 Pdb Votes
Yukio,X-Men Cinematic Universe (2011-2020),ENFP,79 Pdb Votes
Kenuichio Harada,X-Men Cinematic Universe (2011-2020),ISTP,0
"Ophelia Sarkissian ""Dr. Green""/""Viper""",X-Men Cinematic Universe (2011-2020),XXXX,0
Bolivar Trask,X-Men Cinematic Universe (2011-2020),INTJ,0
"Ben Grimm ""The Thing""",Fantastic Four (2005),ISFP,0
"Sue Storm ""Invisible Woman""",Fantastic Four (2005),ENFJ,0
"Reed Richards ""Mr. Fantastic""",Fantastic Four (2005),INTP,0
Kurt Wagner “Nightcrawler”,X-Men Cinematic Universe (2000-2009),INFP,0
Jubilation Lee “Jubilee”,X-Men Cinematic Universe (2011-2020),ESFP,42 Pdb Votes
"Ororo Munroe ""Storm""",X-Men Cinematic Universe (2011-2020),ISTP,31 Pdb Votes
Scott Summers/Cyclops (First Class),X-Men Cinematic Universe (2011-2020),ISTJ,66 Pdb Votes
Moira MacTaggert,X-Men Cinematic Universe (2011-2020),ISTJ,46 Pdb Votes
Dopinder,Deadpool (2016),INFP,94 Pdb Votes
Callisto,X-Men Cinematic Universe (2000-2009),ISTP,15 Pdb Votes
Angel Salvadore “Tempest”,X-Men Cinematic Universe (2011-2020),ESFP,38 Pdb Votes
Blind Al,Deadpool (2016),ESTP,57 Pdb Votes
Domino,Deadpool (2016),ISTP,133 Pdb Votes
Cable,Deadpool (2016),ESTJ,130 Pdb Votes
Warren Worthington III “Angel”,X-Men Cinematic Universe (2000-2009),ISFP,40 Pdb Votes
Elizabeth Braddock “Psylocke”,X-Men Cinematic Universe (2011-2020),INTJ,92 Pdb Votes
John Allerdyce “Pyro”,X-Men Cinematic Universe (2000-2009),ESTP,71 Pdb Votes
Bobby Drake “Iceman”,X-Men Cinematic Universe (2000-2009),ISFP,97 Pdb Votes
Clarice Ferguson “Blink”,X-Men Cinematic Universe (2011-2020),ENFP,40 Pdb Votes
Alex Summers “Havok”,X-Men Cinematic Universe (2011-2020),ESTP,80 Pdb Votes
En Sabah Nur “Apocalypse”,X-Men Cinematic Universe (2011-2020),ENTJ,119 Pdb Votes
Angel Dust,Deadpool (2016),ISTP,46 Pdb Votes
Kitty Pryde “Shadowcat”,X-Men Cinematic Universe (2011-2020),INFP,93 Pdb Votes
Ororo Munroe “Storm”,X-Men Cinematic Universe (2000-2009),ISFJ,135 Pdb Votes
