,char,movie,mbti,votes
84,Geri,Toy Story (Franchise),ISTJ,62 Pdb Votes
85,Tim,The Wrong Missy (2020),ISTJ,44 Pdb Votes
86,Thomas Button,The Curious Case of Benjamin Button (2008),ISTJ,27 Pdb Votes
87,Tim Lockwood,Cloudy with a Chance of Meatballs (2009),ISTJ,178 Pdb Votes
88,Lieutenant Commander JoAnne Galloway,A Few Good Men (1992),ISTJ,42 Pdb Votes
89,Burke,Blow Out (1981),ISTJ,7 Pdb Votes
90,Robert McCall,The Equalizer ( 2014- 2018),ISTJ,284 Pdb Votes
91,The Great Prince of the Forest,Bambi (1942),ISTJ,116 Pdb Votes
92,Timekeeper Raymond Leon,In Time (2011),ISTJ,86 Pdb Votes
93,Jack Crawford,The Silence of the Lambs (1991),ISTJ,55 Pdb Votes
94,Walter Stratford,10 Things I Hate About You (1999),ISTJ,149 Pdb Votes
95,Marianne,Portrait of a Lady on Fire (2019),ISTJ,207 Pdb Votes
96,Ray Schleine,Uptown girls (2003),ISTJ,144 Pdb Votes
97,George Harvey,The Lovely Bones (2009),ISTJ,67 Pdb Votes
98,James 'One' Shade,Resident Evil,ISTJ,9 Pdb Votes
99,Dan Evans,3:10 to Yuma (2007),ISTJ,48 Pdb Votes
100,Verne,Over The Hedge (2006),ISTJ,243 Pdb Votes
101,Charlotte Lucas,Pride and Prejudice (2005),ISTJ,110 Pdb Votes
102,Max,The Secret Life of Pets (2016),ISTJ,171 Pdb Votes
103,Josh,Midsommar (2019),ISTJ,291 Pdb Votes
104,Alex Munday,Charlie’s Angels (2000),ESTJ,143 Pdb Votes
105,Lord Hidetora Ichimonji,Ran (1985),ISTJ,45 Pdb Votes
106,CPT John Miller,Saving Private Ryan (1998),ISTJ,84 Pdb Votes
107,Carl Hanratty,Catch Me If You Can (2002),ISTJ,193 Pdb Votes
108,Tom Sherbourne,The Light Between Oceans (2016),XXXX,33 Pdb Votes
109,Sir Hiss,Robin Hood (1973),ISTJ,78 Pdb Votes
110,Uncle Kouzuki,The Handmaiden (2016),ISTJ,70 Pdb Votes
111,Tiberias,Kingdom of Heaven (2005),ISTJ,39 Pdb Votes
112,Jonathan Harker,Bram Stoker's Dracula (1992),ISTJ,42 Pdb Votes
113,Terminator (T-800) “Uncle Bob”,Terminator,ISTJ,308 Pdb Votes
114,Richard Cameron,Dead Poets Society (1989),ISTJ,320 Pdb Votes
115,Colonel G. Lucas,Apocalypse Now (1979),ISTJ,15 Pdb Votes
116,Alex J. Murphy / Robocop,RoboCop,ISTJ,150 Pdb Votes
117,Luv,Blade Runner,ISTJ,204 Pdb Votes
118,Jane,Peter Pan (1953),ISTJ,248 Pdb Votes
119,Tom Hagen,The Godfather (1972),ISTJ,368 Pdb Votes
120,Mohini Banjaree,Lemonade Mouth (2011),ISTJ,167 Pdb Votes
121,Ash,Alien,ISTJ,92 Pdb Votes
122,Percy Weasley,Harry Potter / Wizarding World Films,ISTJ,327 Pdb Votes
123,James Norrington,Pirates of the Caribbean,ISTJ,274 Pdb Votes
124,"Manfred ""Manny""",Ice Age (Franchise),ISTJ,613 Pdb Votes
125,Nurse Ratched,One Flew Over the Cuckoo's Nest (1975),ISTJ,243 Pdb Votes
126,Spock,Star Trek (Kelvin Timeline),ISTJ,294 Pdb Votes
127,Donald Gennaro,Jurassic Park / Jurassic World (Film Franchise),ISTJ,50 Pdb Votes
128,Juror #4,12 Angry Men (1957),ISTJ,275 Pdb Votes
129,Wasabi No-Ginger,Big Hero 6 (2014),ISTJ,443 Pdb Votes
130,Colonel Mustard,Clue (1985),ISTJ,40 Pdb Votes
131,The President,Fail Safe (1964),ESTJ,2 Pdb Votes
132,Jonathan Dennis,Impulse (2008),ISTJ,2 Pdb Votes
133,Varun,Doctor [Tamil] - 2021,ISTJ,3 Pdb Votes
134,Jan,The Beast Must Die (1974),ISTJ,10 Pdb Votes
135,Mitch Winehouse,Back to Black (2024),ISTJ,7 Pdb Votes
136,Lady Torrance,The Fugitive Kind (1960),ISTJ,3 Pdb Votes
137,Dr. Singh,Turtles All The Way Down,XXXX,1 Pdb Vote
138,Lolis,Ojitos de huevo,XXXX,1 Pdb Vote
139,MILF´s Husband,The Final Destination (2009),XXXX,1 Pdb Vote
140,George Winfield,On Moonlight Bay (series),XXXX,4 Pdb Votes
141,Marshall Kane,Ripper (2001),INTJ,1 Pdb Vote
142,Bob Matthews,The Villain (1971),ISTJ,6 Pdb Votes
143,Dr. Xavi Punnose,Abraham Ozler (2024),ISTJ,2 Pdb Votes
144,Paddy Whelan,Riverhead (2016),ISTJ,10 Pdb Votes
145,Master Cheng,Man Suang (2023),XXXX,1 Pdb Vote
146,James Walker,Missing (2023),XXXX,1 Pdb Vote
147,Rendy,Get Married (Franchise),XXXX,1 Pdb Vote
148,Ozawa,Outrage,ISTJ,10 Pdb Votes
149,Abel Deluc,Rosalie (2023),ISTJ,2 Pdb Votes
150,Sheriff Black,Road House (2024),ISTJ,3 Pdb Votes
151,Joe Rothman,The Killer Inside Me (2010),ISTJ,3 Pdb Votes
152,Ines Conradi,Toni Erdmann (2016),ISTJ,3 Pdb Votes
153,Boov (Species),Home (2015),ISTJ,3 Pdb Votes
154,Chen Hui,"The Pig, the Snake and the Pigeon 周處除三害",ISTJ,4 Pdb Votes
155,Mr. Hu,The Tiger's Apprentice,ISFJ,1 Pdb Vote
156,A.J. Marley,Supernova (2000),XXXX,1 Pdb Vote
157,Dr. Kaela Evers,Supernova (2000),XXXX,1 Pdb Vote
158,Abby ,Lift (2024),ISTJ,9 Pdb Votes
159,Shen's father,Kung Fu Panda (Franchise),XXXX,1 Pdb Vote
160,Мать Кати,"Все умрут, а я останусь (2008)",XXXX,3 Pdb Votes
161,Pontius Pilate,The Master and Margarita (2024),XXXX,7 Pdb Votes
162,Secret Service Agent,Taxi Driver (1976),ISTJ,2 Pdb Votes
163,Ursa,Open Season (2006),XXXX,4 Pdb Votes
164,Bong Rim,Citizen of a Kind (2024),XXXX,1 Pdb Vote
165,Marian,Drive-Away Dolls,ISTJ,10 Pdb Votes
