,id,person_mbti,mbti_test,character,movie
516,16,INFJ,16Personalities,Jo March,Little Women
141,16,INFJ,16Personalities,Hermione Granger,Harry Potter
641,16,INFJ,16Personalities,Queen Charlotte,Bridgerton
16,16,INFJ,16Personalities,Natasha Romanoff,Avengers: Endgame 
391,16,INFJ,16Personalities,Anne,Anne with an E
17,17,INFP,16Personalities,Maya,Birdshot
517,17,INFP,16Personalities,Julie Baker,Flipped
267,17,INFP,16Personalities,Luna Lovegood,Harry Potter and the Order of the Phoenix
392,17,INFP,16Personalities,Stella Mate,Crying Ladies
142,17,INFP,16Personalities,Dani,Midsommar
768,18,INFP,Cognitive functions self-typing,Maria Posada,The Book of Life
893,18,INFP,Cognitive functions self-typing,Belle,Beauty and the Beast
643,18,INFP,Cognitive functions self-typing,Jiro Horikoshi,The wind rises
1143,18,INFP,Cognitive functions self-typing,Alice,Alice in Wonderland
268,18,INFP,Cognitive functions self-typing,Poppy Moore,Wild Child
143,18,INFP,Cognitive functions self-typing,Regina George,Mean Girls
18,18,INFP,Cognitive functions self-typing,Haru,Spirited away
393,18,INFP,Cognitive functions self-typing,Princess Mia,The Princess Diaries
1018,18,INFP,Cognitive functions self-typing,Cinderella,Cinderella
518,18,INFP,Cognitive functions self-typing,Maaya Kisaragi,And yet you are so sweet
519,19,ENFP,16Personalities,Ken,barbie movie
144,19,ENFP,16Personalities,honeylemon,big hero 6
394,19,ENFP,16Personalities,Mirabel,encanto
644,19,ENFP,16Personalities,Clawhauser,zootopia
269,19,ENFP,16Personalities,Abby,turning red
19,19,ENFP,16Personalities,Olaf,frozen
145,20,ENFP,16Personalities,Lucy Gray , Hunger Games
1145,20,ENFP,16Personalities,Christopher , The Pursuit of Happiness
895,20,ENFP,16Personalities,Debbie , Ocean’s Eight
270,20,ENFP,16Personalities,Elle Woods , Legally Blonde
520,20,ENFP,16Personalities,Julie , Warm Bodies
20,20,ENFP,16Personalities,Katniss Everdeen , Hunger Games
770,20,ENFP,16Personalities,Trinity , Matrix
645,20,ENFP,16Personalities,Marta , Knives Out
395,20,ENFP,16Personalities,Roxy , Kingsman
1020,20,ENFP,16Personalities,Rachel Chu , Crazy Rich Asians
21,21,ENFP,keys2cognition.com and dove into cognitive functions,Elizabeth Bennet,Pride and Prejudice
271,21,ENFP,keys2cognition.com and dove into cognitive functions,Spirit,Spirit: Stallion of the Cimarron
521,21,ENFP,keys2cognition.com and dove into cognitive functions,Merida,Brave 
146,21,ENFP,keys2cognition.com and dove into cognitive functions,Juli Baker,Flipped
396,21,ENFP,keys2cognition.com and dove into cognitive functions,Rapunzel,Tangled
1022,22,INFP,16Personalities,Karen Smith,Mean Girls (OG!)
647,22,INFP,16Personalities,Lin,Spirited Away
147,22,INFP,16Personalities,Nicole Barber,Marriage Story
1147,22,INFP,16Personalities,Sadness,Inside Out
522,22,INFP,16Personalities,Lisa,Ponyo
397,22,INFP,16Personalities,Shoko Nishimiya,A Silent Voice
897,22,INFP,16Personalities,Dory,Finding Nemo
272,22,INFP,16Personalities,Linda Go,Mano Po 1: My Family
772,22,INFP,16Personalities,Sebastian Wilder,La La Land
22,22,INFP,16Personalities,Chiron,Moonlight
148,23,INFP,All in one personality test,Tiana,princess and the frog
273,23,INFP,All in one personality test,Mulan,mulan
23,23,INFP,All in one personality test,Enola Holmes,Enola Holmes
398,23,INFP,All in one personality test,Belle,beauty and the beast
399,24,INTP,16Personalities,Marnie , When Marnie Was There
649,24,INTP,16Personalities,Ashitaka , Princess Mononke
149,24,INTP,16Personalities, Hiromitsu Kosuke , No Longer Heroine
524,24,INTP,16Personalities,Howl Pendragon , Howl's Moving Castle
24,24,INTP,16Personalities,Jiro Horikoshi , The Wind Rises
