char,movie,mbti,votes
Indoraptor,Jurassic Park / Jurassic World (Film Franchise),ISTP,68 Pdb Votes
Grace Hart / Gracie-Lou Freebush,Miss Congeniality franchise,ISTP,207 Pdb Votes
Jack Callaghan,While You Were Sleeping (1995),ISTP,89 Pdb Votes
Brandon Sullivan,Shame (2011),ISTP,155 Pdb Votes
Sharkboy,The Adventures of Sharkboy and Lavagirl (2005),ISTP,206 Pdb Votes
Ephraim Winslow (Thomas Howard),The Lighthouse (2019),ISTP,360 Pdb Votes
Le Frog,Flushed Away (2006),ISTP,53 Pdb Votes
Turkish,Snatch (2000),ISTP,49 Pdb Votes
Landon Carter,A Walk to Remember (2002),ISTP,103 Pdb Votes
Cliff Booth,Once Upon a Time in... Hollywood (2019),ISTP,579 Pdb Votes
Annie Graham,Hereditary (2018),ISTP,523 Pdb Votes
Mindy McCready (Hit-Girl),Kick-Ass (2010),ISTP,155 Pdb Votes
Viktor Krum,Harry Potter / Wizarding World Films,ISTP,239 Pdb Votes
Wayne Werewolf,Hotel Transylvania (2012),ISTP,71 Pdb Votes
Max Rockatansky,Mad Max (1979),ISTP,201 Pdb Votes
Peter Strahm,Saw Series (2004),ISTP,107 Pdb Votes
Rick Deckard,Blade Runner,ISTP,440 Pdb Votes
"Gaetan ""Mole"" Molière",Atlantis: The Lost Empire (2001),ISTP,103 Pdb Votes
Zach Mitchell,Jurassic Park / Jurassic World (Film Franchise),ISTP,95 Pdb Votes
Aya,Perfect Days (2023),ISTP,2 Pdb Votes
 Miura Kai,Honey Lemon Soda (2021),ISTP,7 Pdb Votes
Musa,Yazgı(2001),ISTP,13 Pdb Votes
Lord Bayford,Damsel (2024),ISTP,7 Pdb Votes
Cataleya Restrepo,Colombiana (2011),ISTP,19 Pdb Votes
Driver,The Super Mario Bros. Movie (2023),ISTP,16 Pdb Votes
Titus,Rebel Moon (Franchise),ISTP,10 Pdb Votes
Godzilla,Godzilla Minus One,ISTP,54 Pdb Votes
"Noël Leslie, Countess of Rothes",Titanic (1997),XXXX,3 Pdb Votes
Ennui,Inside Out (Franchise),ISTP,94 Pdb Votes
The King,Damsel (2024),XXXX,10 Pdb Votes
Male Morphling,The Hunger Games (Franchise),ISTP,9 Pdb Votes
Jade,Talk to Me,ISTP,92 Pdb Votes
Gu Hye Young,The Girl on a Bulldozer,ISTP,20 Pdb Votes
Toby,I Came By (2022),ISTP,42 Pdb Votes
Dos,Ferdinand (Olé el Viaje de Ferdinand),XXXX,3 Pdb Votes
The Iceberg,Titanic (1997),ISTP,251 Pdb Votes
Kang Hae Sang,The Roundup (2022),ISTP,47 Pdb Votes
James West,Wild Wild West (1999),ISTP,60 Pdb Votes
Jang Isu,THE OUTLAWS (2017),ISTP,26 Pdb Votes
Jessie Burlingame,Wrong Turn (2003),ISTP,36 Pdb Votes
Otis “OJ” Haywood Jr.,Nope (2022),ISTP,359 Pdb Votes
Chispi,Encanto (2021),ISTP,136 Pdb Votes
Grouchy Smurf,The Smurfs (2011),ISTP,21 Pdb Votes
Leeg 2,The Hunger Games (Franchise),ISTP,8 Pdb Votes
Jang Dong-soo,"The Gangster, the Cop, the Devil",ISTP,52 Pdb Votes
Smiley,Training Day (2001),ISTP,6 Pdb Votes
Alexia,Titane (2021),ISTP,80 Pdb Votes
Rafael Olvera (The Curse Of La Llorona),The Conjuring,ISTP,21 Pdb Votes
Victor Criss,It (2017),ISTP,58 Pdb Votes
Mitch Rapp,American Assassin,ISTP,76 Pdb Votes
Godzilla (Millennium),MonsterVerse,XXXX,18 Pdb Votes
Kujo,Blue Spring (2002),ISTP,122 Pdb Votes
Patrick Hockstetter,It (2017),ISTP,145 Pdb Votes
Koichiro Hasegawa,Drowning Love (2016),ISTP,82 Pdb Votes
Фил,Трудные подростки,ISTP,27 Pdb Votes
The Huntsman (Humbert),Snow White and the Seven Dwarfs (1937),ISTP,33 Pdb Votes
Cade Yeager,Transformers (Bayverse),ISTP,43 Pdb Votes
