char,movie,mbti,votes
Elly Conway,Argylle (2024),INFJ,60 Pdb Votes
Hong,Man Suang (2023),XXXX,3 Pdb Votes
Max Stevenson,Puppy Love,INFJ,23 Pdb Votes
Alireza,Leila's Brothers,INFJ,105 Pdb Votes
Nefer,Mummies (2023),INFJ,25 Pdb Votes
Jennifer Corvino,Phenomena,INFJ,24 Pdb Votes
Paul Bäumer,All Quiet on the Western Front (2022),INFJ,154 Pdb Votes
Henry Of Wales,"Red, White and Royal Blue (2023)",INFJ,374 Pdb Votes
Nigel Colbie,Like minds,INFJ,62 Pdb Votes
Xenk Yendar,Dungeons & Dragons: Honor Among Thieves (2023),INFJ,267 Pdb Votes
Momma Dinosaur,Ice Age (Franchise),INFJ,52 Pdb Votes
Satya Dev Chaudhry,Kalank (2019),XXXX,8 Pdb Votes
Wisp,Brave (2012),INFJ,67 Pdb Votes
Ava Lord,Sin City (franchise),INFJ,33 Pdb Votes
Naina Talwar,Yeh Jawaani Hai Deewani,INFJ,86 Pdb Votes
Lt col john lawrence,"Merry Christmas, Mr. Lawrence",INFJ,32 Pdb Votes
Henry Barthes,Detachment,INFJ,260 Pdb Votes
Brahms Heelshire,The Boy,INFJ,221 Pdb Votes
Eudoria Holmes,Enola Holmes (2020),INFJ,386 Pdb Votes
Lucille,A Monster in Paris,INFJ,200 Pdb Votes
Blue Fairy,Pinocchio (1940),INFJ,78 Pdb Votes
Catherine Twombly,Her (2013),INFJ,91 Pdb Votes
Stalker,Stalker (1979) (Сталкер),INFJ,138 Pdb Votes
Alejandro Gillick,Sicario (2015),INFJ,104 Pdb Votes
Matt Flamhaff,13 going on 30 (2004),INFJ,219 Pdb Votes
The Light Fury,How to Train Your Dragon (Franchise),INFJ,170 Pdb Votes
Cindy-Lou Who,How The Grinch Stole Christmas (2000),INFJ,296 Pdb Votes
Kathleen Kelly,You've Got Mail (1998),INFJ,136 Pdb Votes
John Morris,The Sisters Brothers (2018),INFJ,40 Pdb Votes
Evan Treborn,The Butterfly Effect (2004),INFJ,143 Pdb Votes
Carlisle Cullen,Twilight (Franchise),INFJ,726 Pdb Votes
Dracula / Vlad Dracula III,Bram Stoker's Dracula (1992),INFJ,186 Pdb Votes
Aslan,The Chronicles of Narnia (Film Trilogy),INFJ,642 Pdb Votes
T.E. Lawrence,Lawrence of Arabia (1962),INFJ,142 Pdb Votes
Thomas Andrews,Titanic (1997),INFJ,104 Pdb Votes
Juror #8,12 Angry Men (1957),INFJ,520 Pdb Votes
Teresa Agnes,The Maze Runner (Film Trilogy),INFJ,602 Pdb Votes
Westley,The Princess Bride (1987),INFJ,366 Pdb Votes
Sebastian,Suddenly Last Summer (1959),INFJ,4 Pdb Votes
Aisha Greimas,Ayat-Ayat Cinta (2008),INFJ,4 Pdb Votes
Daniel,Sing (Franchise),INFJ,2 Pdb Votes
Michael Ausiello ,Spoiler Alert (2022),INFJ,4 Pdb Votes
Leena Klammer,Orphan (2009-2022),INFJ,3 Pdb Votes
nuray,kuru otlar üstüne,INFJ,4 Pdb Votes
Nicholas Winton,One Life (2024),XXXX,6 Pdb Votes
Air,Elemental,XXXX,7 Pdb Votes
Numa Turcatti,La Sociedad de la Nieve (Society of the Snow),INFJ,151 Pdb Votes
Mary,Journey to Bethlehem (2023),INFJ,30 Pdb Votes
Jia,Godzilla x Kong: The New Empire (2024),INFJ,10 Pdb Votes
Mina,The Watchers (2024),INFJ,3 Pdb Votes
Hans Zimmer's Tick-Tock,Interstellar (2014),INFJ,7 Pdb Votes
Monsieur de Tréville,Barbie and the Three Musketeers (2009),XXXX,4 Pdb Votes
Mermaid Barbie,Barbie (2023),INFJ,90 Pdb Votes
Chihiro,Call Me Chihiro (2023),INFJ,60 Pdb Votes
John May,Still Life,INFJ,14 Pdb Votes
Tigris Snow,The Ballad of Songbirds and Snakes (2023),INFJ,307 Pdb Votes
August Sader,The School for Good and Evil,XXXX,8 Pdb Votes
The Elder,Bullet Train,INFJ,148 Pdb Votes
Rocco Parondi,Rocco and His Brothers (1960),INFJ,25 Pdb Votes
Julia,Watcher,INFJ,56 Pdb Votes
Shantipriya,Om Shanti Om (2007),INFJ,39 Pdb Votes
Mia Reed,The Fallout,INFJ,115 Pdb Votes
Martin Luther King Jr.,Selma (2014),XXXX,8 Pdb Votes
Charles Ambrose,Solace (2015),INFJ,6 Pdb Votes
Freddie Joyce,Calvary (2014),XXXX,2 Pdb Votes
Jenny,Free Birds (2013),XXXX,9 Pdb Votes
Deric,Totally Fucked Up (1993),XXXX,10 Pdb Votes
Hunter,Swallow,INFJ,41 Pdb Votes
Lisa McVey,Believe Me: The Abduction of Lisa McVey,INFJ,125 Pdb Votes
Bennett Russell,Candy Jar,INFJ,16 Pdb Votes
Abby Posey,The Mitchells vs. the Machines (2021),INFJ,133 Pdb Votes
King Caesar,MonsterVerse,XXXX,8 Pdb Votes
Jacob,Like Crazy (2011),XXXX,6 Pdb Votes
Marie Jones,Malcolm & Marie (2021),INFJ,429 Pdb Votes
Julia Sullivan,The Wedding Singer (1998),INFJ,29 Pdb Votes
Esti Kuperman,Disobedience,INFJ,33 Pdb Votes
Patrick Wisely,Scooby-Doo (2002),INFJ,26 Pdb Votes
Tiger Lily,Peter Pan (1953),INFJ,56 Pdb Votes
Rahul Raichand,Kabhi Khushi Kabhie Gham... (2001),INFJ,44 Pdb Votes
Aditya Kashyup,Jab We Met (2007),INFJ,123 Pdb Votes
Jo,Safe Haven,INFJ,11 Pdb Votes
Cowslip,Watership Down (1978),INFJ,8 Pdb Votes
The Motorcycle Boy,Rumble Fish (1983),INFJ,45 Pdb Votes
Julie de Courcy,Three Colours trilogy,INFJ,91 Pdb Votes
Graham Dalton,"sex, lies, and videotape",INFJ,64 Pdb Votes
Ayumu Muko,Yellow Elephant (2013),INFJ,5 Pdb Votes
Emi Fukuju,"My Tomorrow, Your Yesterday (2016)",INFJ,58 Pdb Votes
Leopold Mountbatten,Kate & Leopold,INFJ,31 Pdb Votes
Rosa,O Auto da Compadecida (2000),INFJ,30 Pdb Votes
Soothsayer,Kung Fu Panda (Franchise),INFJ,163 Pdb Votes
Will Graham,Red Dragon (2002),INFJ,114 Pdb Votes
Raymond Dufayel,Amélie (2001),INFJ,85 Pdb Votes
Susie Bannion,Suspiria (2018),INFJ,112 Pdb Votes
Dr. Kyojō Niide,Red Beard (1965),INFJ,17 Pdb Votes
Angelita,K-12 (2019),INFJ,205 Pdb Votes
"Victoria ""Vicki"" Winters",Dark Shadows (2012),INFJ,175 Pdb Votes
Abraham Portman,Miss Peregrine's Home for Peculiar Children (2016),XXXX,28 Pdb Votes
Evelyn Abbott,A Quiet Place (2018),INFJ,159 Pdb Votes
Madolyn,The Departed (2006),INFJ,49 Pdb Votes
Jeffrey Beaumont,Blue Velvet (1986),INFJ,136 Pdb Votes
The Emperor of China,Mulan (Franchise),INFJ,207 Pdb Votes
Malcolm Crowe,The Sixth Sense (1999),INFJ,84 Pdb Votes
Sue Snell,Carrie (1976),INFJ,116 Pdb Votes
Astrid Young Teo,Crazy Rich Asians (2018),INFJ,176 Pdb Votes
Samara Morgan,The Ring (2002),INFJ,265 Pdb Votes
Atari Kobayashi,Isle of Dogs (2018),INFJ,113 Pdb Votes
Sally Carrera,Cars (Franchise),INFJ,238 Pdb Votes
Dr. Karen Fletcher,Split (2016),INFJ,96 Pdb Votes
Maggie Murdock,Love & Other Drugs (2010),INFJ,159 Pdb Votes
Maid Marian,Robin Hood (1973),INFJ,203 Pdb Votes
Samantha Kingston,Before I Fall (2017),INFJ,91 Pdb Votes
Josh Lucas,Clueless (1995),INFJ,452 Pdb Votes
"Strip ""The King"" Weathers",Cars (Franchise),INFJ,147 Pdb Votes
Vesper Lynd,James Bond Film Series,INFJ,162 Pdb Votes
Plo Koon,Star Wars,INFJ,185 Pdb Votes
Plutarch Heavensbee,The Hunger Games (Franchise),INFJ,263 Pdb Votes
Władysław Szpilman,The Pianist (2002),INFJ,293 Pdb Votes
Nariyoshi Miyagi,The Karate Kid (Franchise),INFJ,296 Pdb Votes
Justine,Melancholia (2011),INFJ,156 Pdb Votes
John Doe,Se7en (1995),INFJ,686 Pdb Votes
Ilsa Faust,Mission: Impossible (Franchise),INFJ,159 Pdb Votes
John Coffey,The Green Mile (1999),INFJ,402 Pdb Votes
Thomas Sharpe,Crimson Peak (2015),INFJ,260 Pdb Votes
Woodchuck Todd,Easy A (2010),INFJ,106 Pdb Votes
Elizabeth Wurtzel,Prozac Nation (2001),INFJ,299 Pdb Votes
Louise Banks,Arrival (2016),INFJ,399 Pdb Votes
Maz Kanata,Star Wars,INFJ,136 Pdb Votes
Mal,Inception (2010),INFJ,297 Pdb Votes
Galadriel,The Lord of the Rings (Film Trilogy),INFJ,908 Pdb Votes
Rafael Richard,Os Huios,XXXX,1 Pdb Vote
Maethe Miguel Capitonio,Os Huios,INFJ,5 Pdb Votes
"Brigadier General Warren A. ""Blackie"" Black",Fail Safe (1964),INFJ,3 Pdb Votes
Matt Fowler,In the Bedroom (2001),XXXX,1 Pdb Vote
Alpha,Monkey Man (2024),INFJ,2 Pdb Votes
Roy,The Odd Couple (1968),INFJ,2 Pdb Votes
Angelica,Family Switch,INFJ,3 Pdb Votes
Kyle,Grown Ups,INFJ,7 Pdb Votes
Kid #2,The Final Destination (2009),XXXX,1 Pdb Vote
Alexander Joseph,Abraham Ozler (2024),INFJ,2 Pdb Votes
Savannah,Lowlifes (2024),ISFP,1 Pdb Vote
Homer,Wings of Desire,XXXX,1 Pdb Vote
Edward Sumner,Unfaithful (2002),XXXX,1 Pdb Vote
Christina,Exotica (1994),INFJ,10 Pdb Votes
Jack Moore,Red Corner (1997),XXXX,1 Pdb Vote
Merlin,The Sorcerer’s Apprentice (2010),INFJ,2 Pdb Votes
Sumio,Saiko! The Large Family (2009),XXXX,1 Pdb Vote
Novica Marjanović,The Skinning (Šišanje),INFJ,2 Pdb Votes
Pelikan,Kung Fu Panda (Franchise),ENTJ,1 Pdb Vote
Lord Ram,"Mantra Warrior, Legend of the Eight Moons",INFJ,4 Pdb Votes
Dr. Julia Kelly,The Peacemaker (1997),XXXX,1 Pdb Vote
Kuvetli,Journey into Fear (1943),INFJ,6 Pdb Votes
Willy's Mother,Wonka (2023 Movie),INFJ,8 Pdb Votes
Yi Soo,The Beauty Inside 2015,INFJ,10 Pdb Votes
Grandpa Nodar,Vacations of Petrov and Vasechkin (1984),INFJ,8 Pdb Votes
Arturo Nogueira,La Sociedad de la Nieve (Society of the Snow),INFJ,22 Pdb Votes
Joan of Arc,The Messenger: The Story of Joan of Arc,INFJ,48 Pdb Votes
Manoj Kumar Sharma,12th Fail,INFJ,21 Pdb Votes
Dr. Doris Parker,Detachment,ESFJ,6 Pdb Votes
"Philomena ""Philo"" Angeles",A Very Good Girl,INFJ,24 Pdb Votes
Chuck Lane,Shattered Glass (2003),INFJ,3 Pdb Votes
Lucinda,Kung Fu Panda (Franchise),XXXX,1 Pdb Vote
Friedrich Nietzsche ,Beyond Good And Evil (1977 film),INTJ,10 Pdb Votes
Ms. Norbury,Mean Girls (2024),INFJ,16 Pdb Votes
Ирина Сергеевна,Слово пацана. Кровь на асфальте / Slovo patsana,INFJ,110 Pdb Votes
Girlfriend,Stan,INFJ,5 Pdb Votes
Evan Treborn at 13,The Butterfly Effect (2004),INFJ,11 Pdb Votes
Christopher,Family Blood (2018),INFJ,2 Pdb Votes
Floyd,Trolls (2016),INFJ,131 Pdb Votes
Heloise,Ofis Akademia,INFJ,20 Pdb Votes
Shen Tian Ran,Born to Fly (2023),XXXX,1 Pdb Vote
"Rafał Wilczur ""Antoni Kosiba""","Znachor ""Forgotten Love"" (2023)",INFJ,12 Pdb Votes
William Gracey,Haunted Mansion (2023),INFJ,6 Pdb Votes
Brynn,No One Will Save You (2023),INFJ,35 Pdb Votes
Sister Emanuel,Novitiate,INFJ,2 Pdb Votes
Hans Zimmer's Cornfield Chase,Interstellar (2014),INFJ,17 Pdb Votes
Aishwarya Rathore,Jawan (2023),INFJ,11 Pdb Votes
Aisha,The Innocents (2021),INFJ,9 Pdb Votes
Stick,The Monkey King,INFJ,5 Pdb Votes
Ned Braden,Slap Shot (1977),INFJ,2 Pdb Votes
Gorg,Home (2015),INFJ,15 Pdb Votes
Unknown Woman,Kyôshin (Mirrored Mind),INFJ,11 Pdb Votes
Rachel Stone,Heart of Stone (2023),INFJ,38 Pdb Votes
Julian Wilde,Lured (1947),INFJ,5 Pdb Votes
Jerry Hickfang,The Voices (2014),INFJ,4 Pdb Votes
Joyce Reynolds,A Haunting in Venice,INFJ,46 Pdb Votes
Ruth Handler,Barbie (2023),INFJ,67 Pdb Votes
pope,Bird Box Barcelona (2023),XXXX,6 Pdb Votes
Pamela Abbott,Inventing the Abbotts (1997),INFJ,10 Pdb Votes
Elizabeth Berry,May December,INFJ,85 Pdb Votes
Johannes Borgen,Ordet (1955),INFJ,5 Pdb Votes
MC,Harry Potter Magic Awakened,XXXX,41 Pdb Votes
Rhonda,Trick r Treat (2007),INFJ,7 Pdb Votes
Harriet Craig,Craig's Wife (1936),ISFJ,1 Pdb Vote
Thomas Becket,Becket (1964),INFJ,4 Pdb Votes
Stephen Dallas,Stella Dallas (1937),XXXX,1 Pdb Vote
Koa,65 (2023),XXXX,14 Pdb Votes
Tony Hastings,Nocturnal Animals (2016),INFJ,18 Pdb Votes
Takabayashi Matsuri,The Last 10 Years (2022),INFJ,21 Pdb Votes
Caine,John Wick,INFJ,184 Pdb Votes
Brian Brown-Easley,Breaking (2022),INFJ,10 Pdb Votes
