char,movie,mbti,votes
Rhett Butler,Gone with the Wind (1939),ENTP,375 Pdb Votes
Ferris Bueller,Ferris Bueller's Day Off (1986),ENTP,1k Pdb Votes
Flik,A Bug's Life (1998),ENTP,301 Pdb Votes
Sean Parker,The Social Network (2010),ENTP,371 Pdb Votes
Михаил Горшенёв,Король и Шут,ENTP,7 Pdb Votes
Jamie Hughes,Totally Killer (2023),ENTP,109 Pdb Votes
Monkey King,The Monkey King,ENTP,54 Pdb Votes
Mirage,Transformers: Rise of the Beasts,ENTP,148 Pdb Votes
Alex Claremont-Diaz,"Red, White and Royal Blue (2023)",ENTP,373 Pdb Votes
Gabbi Broussard,Do Revenge (2022),ENTP,531 Pdb Votes
Xibalba,The Book of Life (2014),ENTP,97 Pdb Votes
Staci,Boss Baby (Franchise),ENTP,62 Pdb Votes
Robin Hood,Robin Hood (2018),ENTP,28 Pdb Votes
Art the Clown,Terrifier,ENTP,267 Pdb Votes
Jorge,The Maze Runner (Film Trilogy),ENTP,58 Pdb Votes
Magic Mirror,Shrek (Franchise),ENTP,97 Pdb Votes
Andie Anderson,How to Lose a Guy in 10 days,ENTP,242 Pdb Votes
Vinny Gambini,My Cousin Vinny (1992),ENTP,88 Pdb Votes
Polite Leader,The Purge (Franchise),ENTP,145 Pdb Votes
Kevin,The Barbie Diaries,ENTP,26 Pdb Votes
Bruce Robertson,Filth (2013),ENTP,165 Pdb Votes
Lieutenant Daniel Alastair Kaffee,A Few Good Men (1992),ENTP,94 Pdb Votes
Royal Tenenbaum,The Royal Tenenbaums (2001),ENTP,161 Pdb Votes
Paul Avery,Zodiac (2007),ENTP,160 Pdb Votes
Chicken Little,Chicken Little (2005),ENTP,353 Pdb Votes
Ranchoddas Shamaldas Chanchad,3 Idiots (2009),ENTP,463 Pdb Votes
Private J.T. “Joker” Davis,Full Metal Jacket (1987),ENTP,269 Pdb Votes
Wallace,Wallace and Gromit,ENTP,232 Pdb Votes
Buster Moon,Sing (Franchise),ENTP,497 Pdb Votes
The Baker's Wife,Into the Woods (2014),ENTP,53 Pdb Votes
Buster Scruggs,The Ballad of Buster Scruggs (2018),ENTP,136 Pdb Votes
Officer Slater,Superbad (2007),ENTP,140 Pdb Votes
Nya,The Lego Movie (Franchise),ENTP,71 Pdb Votes
Clopin,The Hunchback of Notre Dame (1996),ENTP,180 Pdb Votes
Jareth the Goblin King,Labyrinth (1986),ENTP,328 Pdb Votes
Mia Wallace,Pulp Fiction (1994),ENTP,1.1k Pdb Votes
Captain Hook,Peter Pan (1953),ENTP,333 Pdb Votes
"Benjamin ""Benji"" Dunn",Mission: Impossible (Franchise),ENTP,127 Pdb Votes
Dr. Ian Malcolm,Jurassic Park / Jurassic World (Film Franchise),ENTP,631 Pdb Votes
TARS,Interstellar (2014),ENTP,204 Pdb Votes
Seneca Crane,The Hunger Games (Franchise),ENTP,166 Pdb Votes
Eames,Inception (2010),ENTP,305 Pdb Votes
Rafiki,The Lion King (Franchise),ENTP,670 Pdb Votes
George Weasley,Harry Potter / Wizarding World Films,ENTP,1.1k Pdb Votes
Fred Weasley,Harry Potter / Wizarding World Films,ENTP,1.1k Pdb Votes
Commander Charles,The Americanization of Emily (1964),ENTP,2 Pdb Votes
Aju,Aavesham (2024),ENTP,3 Pdb Votes
Tiger,Monkey Man (2024),ENTP,8 Pdb Votes
King,The Blackening (2022),XXXX,12 Pdb Votes
Park Sung-bae,Asura: The City of Madness,ENTP,13 Pdb Votes
Beatboxing Puppy,Our Drawings (Calobi Productions),ENTP,7 Pdb Votes
Cyrus,Lift (2024),ENTP,24 Pdb Votes
Bendy,BENDY and THE INK MACHINE (2025),ENTP,19 Pdb Votes
Joseph,Journey to Bethlehem (2023),ENTP,23 Pdb Votes
Кащей,Слово пацана. Кровь на асфальте / Slovo patsana,ENTP,203 Pdb Votes
Royal Butler Preminger,Barbie In The 12 Dancing Princesses (2006),XXXX,18 Pdb Votes
Leo Das,Lokesh Cinemeatic Universe ( LCU),ENTP,50 Pdb Votes
Dante Reyes,The Fast and the Furious (Film Franchise),ENTP,47 Pdb Votes
Weird Barbie,Barbie (2023),ENTP,414 Pdb Votes
John Malcolm,Separate Tables (1958),XXXX,3 Pdb Votes
Bus Driver,K-12 (2019),XXXX,21 Pdb Votes
Nanhe（南河）,Deep Sea（深海）,ENTP,18 Pdb Votes
Tristian Voy,Horror,ENTP,6 Pdb Votes
Skipper Roberts,Barbie & Her Sisters in a Pony Tale (2013),ENTP,11 Pdb Votes
Carver,Bullet Train,ENTP,15 Pdb Votes
Cranky Kong,The Super Mario Bros. Movie (2023),ENTP,111 Pdb Votes
Valentino,Wish (2023),ENTP,31 Pdb Votes
Bumpty Fluzoo,Grown Ups,XXXX,12 Pdb Votes
Grace,Mission: Impossible (Franchise),ENTP,135 Pdb Votes
Edward Teller,Oppenheimer (2023),ENTP,216 Pdb Votes
Irina,Watcher,ENTP,18 Pdb Votes
Dr. Arliss Loveless,Wild Wild West (1999),ENTP,37 Pdb Votes
Young Adam,The Adam Project,ENTP,161 Pdb Votes
Meiko,"Wheel of Fortune and Fantasy (2021, 偶然と想像)",ENTP,19 Pdb Votes
Vikram Govindan,Murder Mystery (2019),ENTP,23 Pdb Votes
Camilo Madrigal,Encanto (2021),ENTP,2.4k Pdb Votes
Dr. Livesey,Treasure Island (1988),ENTP,356 Pdb Votes
Murph,Like Mike (2002),ENTP,7 Pdb Votes
Otto,Barbie As Rapunzel (2002),ENTP,42 Pdb Votes
Billy the Puppet,Saw Series (2004),ENTP,102 Pdb Votes
Shelby Forthright,WALL-E (2008),ENTP,25 Pdb Votes
Gonner,"Daddy, I'm a Zombie",ENTP,42 Pdb Votes
Finn Oxford,Barbie in Rock 'N Royals (2015),ENTP,18 Pdb Votes
"Kabir ""Bunny"" Thapar",Yeh Jawaani Hai Deewani,ENTP,104 Pdb Votes
Zeki Müller,Fack ju Göhte,ENTP,86 Pdb Votes
Felix,Barbie In The 12 Dancing Princesses (2006),ENTP,27 Pdb Votes
Beverly Sutphin,Serial Mom,ENTP,21 Pdb Votes
"Edward Carver ""Water Street Butcher""",The Poughkeepsie Tapes,ENTP,38 Pdb Votes
Lila,Barbie of Swan Lake (2003),ENTP,46 Pdb Votes
Jonathan Jacobo,Scooby-Doo (2002),ENTP,9 Pdb Votes
Alebrije,La Leyenda de la Nahuala,ENTP,68 Pdb Votes
Herb Overkill,Despicable Me (Franchise),ENTP,174 Pdb Votes
Harry Chapman,About Time (2013),ENTP,53 Pdb Votes
Aman Mathur,Kal Ho Naa Ho,ENTP,99 Pdb Votes
Dave / Dr. Octavius Brine,Madagascar (Franchise),ENTP,130 Pdb Votes
Bruno Antony,Strangers on a Train (1951),ENTP,43 Pdb Votes
Eddie,Ice Age (Franchise),ENTP,102 Pdb Votes
Timothy Q. Mouse,Dumbo (1941),ENTP,70 Pdb Votes
Stu,Phone Booth (2002),ENTP,27 Pdb Votes
Pilot Kelson,Highway (2002),ENTP,23 Pdb Votes
Kirby Reed,Scream (Franchise),ENTP,214 Pdb Votes
Lon Hammond,The Notebook (2004),ENTP,39 Pdb Votes
Rango,Rango,ENTP,485 Pdb Votes
“Mad” Madam Mim,The Sword in the Stone (1963),ENTP,89 Pdb Votes
Vada Margaret Sultenfuss,My Girl (Film Series),ENTP,188 Pdb Votes
Theo,Die Hard,ENTP,59 Pdb Votes
