char,movie,mbti,votes
Cheyenne,Once Upon a Time in the West (1968),ESTP,46 Pdb Votes
Charlie Sisters,The Sisters Brothers (2018),ESTP,40 Pdb Votes
Julian Albans,Wonder (2017),ESTP,122 Pdb Votes
Sid,Flushed Away (2006),XXXX,83 Pdb Votes
Hallie Parker,The Parent Trap (1998),ESTP,328 Pdb Votes
Stanley Kowalski,A Streetcar Named Desire (1951),ESTP,216 Pdb Votes
Ted,Ted,ESTP,246 Pdb Votes
Sgt. Sean Dignam,The Departed (2006),ESTP,146 Pdb Votes
Tanya,Mamma Mia! (2008),ESTP,139 Pdb Votes
Chad Danforth,High School Musical (Film Trilogy),ESTP,263 Pdb Votes
Frank “Tony Lip” Vallelonga,Green Book (2018),ESTP,205 Pdb Votes
King Fergus,Brave (2012),ESTP,238 Pdb Votes
Johanna Mason,The Hunger Games (Franchise),ESTP,819 Pdb Votes
"Frank ""Daddy"" Booth",Blue Velvet (1986),ESTP,138 Pdb Votes
Nick Dunne,Gone Girl (2014),ESTP,776 Pdb Votes
Charles Lee Ray “Chucky”,Chucky,ESTP,468 Pdb Votes
Tramp,Lady and the Tramp (1955),ESTP,291 Pdb Votes
Robert “Rusty” Ryan,Ocean's Eleven Trilogy,ESTP,145 Pdb Votes
Lando Calrissian,Star Wars,ESTP,420 Pdb Votes
"Commander Paul ""Bus""",The Americanization of Emily (1964),ESTP,2 Pdb Votes
William,Upgraded (2024),ESTP,22 Pdb Votes
Thomas,Arcadian (2024),ESTP,6 Pdb Votes
Lazarus,The Beekeeper (2024),ESFP,7 Pdb Votes
Navid Ashiri,Gonahe Fereshteh (Fereshteh's Sin),ESTP,15 Pdb Votes
Жанна Марченко,"Все умрут, а я останусь (2008)",ESTP,5 Pdb Votes
Archie Sandford,Leave the World Behind,ESTP,31 Pdb Votes
CC Walker,Family Switch,ESTP,67 Pdb Votes
Tama,The Lion King (Franchise),XXXX,2 Pdb Votes
Miles,Project X,ESTP,8 Pdb Votes
Mighty steel leg Sing,Shaolin soccer,ESTP,38 Pdb Votes
Han Su Kang,Brave Citizen (2023),ESTP,20 Pdb Votes
Valentina,Saw Series (2004),ESTP,69 Pdb Votes
Dax,Migration (2023),XXXX,44 Pdb Votes
Slick Charles,They Cloned Tyrone (2023),ESTP,38 Pdb Votes
