char,movie,mbti,votes
Burke,Blow Out (1981),ISTJ,7 Pdb Votes
Robert McCall,The Equalizer ( 2014- 2018),ISTJ,284 Pdb Votes
The Great Prince of the Forest,Bambi (1942),ISTJ,116 Pdb Votes
Timekeeper Raymond Leon,In Time (2011),ISTJ,86 Pdb Votes
Jack Crawford,The Silence of the Lambs (1991),ISTJ,55 Pdb Votes
Walter Stratford,10 Things I Hate About You (1999),ISTJ,149 Pdb Votes
Marianne,Portrait of a Lady on Fire (2019),ISTJ,207 Pdb Votes
Ray Schleine,Uptown girls (2003),ISTJ,144 Pdb Votes
George Harvey,The Lovely Bones (2009),ISTJ,67 Pdb Votes
James 'One' Shade,Resident Evil,ISTJ,9 Pdb Votes
Dan Evans,3:10 to Yuma (2007),ISTJ,48 Pdb Votes
Verne,Over The Hedge (2006),ISTJ,243 Pdb Votes
Charlotte Lucas,Pride and Prejudice (2005),ISTJ,110 Pdb Votes
Max,The Secret Life of Pets (2016),ISTJ,171 Pdb Votes
Josh,Midsommar (2019),ISTJ,291 Pdb Votes
Alex Munday,Charlie’s Angels (2000),ESTJ,143 Pdb Votes
Lord Hidetora Ichimonji,Ran (1985),ISTJ,45 Pdb Votes
CPT John Miller,Saving Private Ryan (1998),ISTJ,84 Pdb Votes
Carl Hanratty,Catch Me If You Can (2002),ISTJ,193 Pdb Votes
Tom Sherbourne,The Light Between Oceans (2016),XXXX,33 Pdb Votes
Sir Hiss,Robin Hood (1973),ISTJ,78 Pdb Votes
Uncle Kouzuki,The Handmaiden (2016),ISTJ,70 Pdb Votes
Tiberias,Kingdom of Heaven (2005),ISTJ,39 Pdb Votes
Jonathan Harker,Bram Stoker's Dracula (1992),ISTJ,42 Pdb Votes
Terminator (T-800) “Uncle Bob”,Terminator,ISTJ,308 Pdb Votes
Richard Cameron,Dead Poets Society (1989),ISTJ,320 Pdb Votes
Colonel G. Lucas,Apocalypse Now (1979),ISTJ,15 Pdb Votes
Alex J. Murphy / Robocop,RoboCop,ISTJ,150 Pdb Votes
Luv,Blade Runner,ISTJ,204 Pdb Votes
Jane,Peter Pan (1953),ISTJ,248 Pdb Votes
Tom Hagen,The Godfather (1972),ISTJ,368 Pdb Votes
Mohini Banjaree,Lemonade Mouth (2011),ISTJ,167 Pdb Votes
Ash,Alien,ISTJ,92 Pdb Votes
Percy Weasley,Harry Potter / Wizarding World Films,ISTJ,327 Pdb Votes
James Norrington,Pirates of the Caribbean,ISTJ,274 Pdb Votes
"Manfred ""Manny""",Ice Age (Franchise),ISTJ,613 Pdb Votes
Nurse Ratched,One Flew Over the Cuckoo's Nest (1975),ISTJ,243 Pdb Votes
Spock,Star Trek (Kelvin Timeline),ISTJ,294 Pdb Votes
Donald Gennaro,Jurassic Park / Jurassic World (Film Franchise),ISTJ,50 Pdb Votes
Juror #4,12 Angry Men (1957),ISTJ,275 Pdb Votes
Wasabi No-Ginger,Big Hero 6 (2014),ISTJ,443 Pdb Votes
Colonel Mustard,Clue (1985),ISTJ,40 Pdb Votes
The President,Fail Safe (1964),ESTJ,2 Pdb Votes
Jonathan Dennis,Impulse (2008),ISTJ,2 Pdb Votes
Varun,Doctor [Tamil] - 2021,ISTJ,3 Pdb Votes
Jan,The Beast Must Die (1974),ISTJ,10 Pdb Votes
Mitch Winehouse,Back to Black (2024),ISTJ,7 Pdb Votes
Lady Torrance,The Fugitive Kind (1960),ISTJ,3 Pdb Votes
Dr. Singh,Turtles All The Way Down,XXXX,1 Pdb Vote
Lolis,Ojitos de huevo,XXXX,1 Pdb Vote
MILF´s Husband,The Final Destination (2009),XXXX,1 Pdb Vote
George Winfield,On Moonlight Bay (series),XXXX,4 Pdb Votes
Marshall Kane,Ripper (2001),INTJ,1 Pdb Vote
Bob Matthews,The Villain (1971),ISTJ,6 Pdb Votes
Dr. Xavi Punnose,Abraham Ozler (2024),ISTJ,2 Pdb Votes
Paddy Whelan,Riverhead (2016),ISTJ,10 Pdb Votes
Master Cheng,Man Suang (2023),XXXX,1 Pdb Vote
James Walker,Missing (2023),XXXX,1 Pdb Vote
Rendy,Get Married (Franchise),XXXX,1 Pdb Vote
Ozawa,Outrage,ISTJ,10 Pdb Votes
Abel Deluc,Rosalie (2023),ISTJ,2 Pdb Votes
Sheriff Black,Road House (2024),ISTJ,3 Pdb Votes
Joe Rothman,The Killer Inside Me (2010),ISTJ,3 Pdb Votes
Ines Conradi,Toni Erdmann (2016),ISTJ,3 Pdb Votes
Boov (Species),Home (2015),ISTJ,3 Pdb Votes
Chen Hui,"The Pig, the Snake and the Pigeon 周處除三害",ISTJ,4 Pdb Votes
Mr. Hu,The Tiger's Apprentice,ISFJ,1 Pdb Vote
A.J. Marley,Supernova (2000),XXXX,1 Pdb Vote
Dr. Kaela Evers,Supernova (2000),XXXX,1 Pdb Vote
Abby ,Lift (2024),ISTJ,9 Pdb Votes
Shen's father,Kung Fu Panda (Franchise),XXXX,1 Pdb Vote
Мать Кати,"Все умрут, а я останусь (2008)",XXXX,3 Pdb Votes
Pontius Pilate,The Master and Margarita (2024),XXXX,7 Pdb Votes
Secret Service Agent,Taxi Driver (1976),ISTJ,2 Pdb Votes
Ursa,Open Season (2006),XXXX,4 Pdb Votes
Bong Rim,Citizen of a Kind (2024),XXXX,1 Pdb Vote
Marian,Drive-Away Dolls,ISTJ,10 Pdb Votes
Mrs Olivia Winfield-Foxworth,Flowers In The Attic (Lifetime movie franchise),ISTJ,1 Pdb Vote
Drone,Leo (2023),ISTJ,16 Pdb Votes
Paul Hunham,The Holdovers,ISTJ,204 Pdb Votes
Etienne Cheynet,Barbie & Her Sisters in a Pony Tale (2013),ISTJ,3 Pdb Votes
Seong Mina,New Generation War: Reawakened Man (2023),ISTJ,2 Pdb Votes
Hodges (The Lawyer),The Killer (2023),ISTJ,38 Pdb Votes
John Skillpa,Peacock (2010),ISTJ,3 Pdb Votes
Makiko Fushimi,Monster (2023),ISTJ,7 Pdb Votes
"Ellen ""The Lady""",The Quick and the Dead (1995),ISTJ,11 Pdb Votes
Lord Covington,Madeline (1998),XXXX,1 Pdb Vote
ülkü,İkimizin Yerine,ISTJ,3 Pdb Votes
Duncan,Saltburn,ISTJ,26 Pdb Votes
Counselor,K-12 (2019),ISTJ,7 Pdb Votes
Travis,Haunted Mansion (2023),ISTJ,33 Pdb Votes
Gil Renard,The Fan (1996),XXXX,1 Pdb Vote
The Director,Nimona (2023),ISTJ,186 Pdb Votes
 Averill,Heaven's Gate (1980),XXXX,1 Pdb Vote
Captain Matthew Garth,Midway (1976),XXXX,2 Pdb Votes
Morten Borgen,Ordet (1955),XXXX,1 Pdb Vote
 Anna Koreff / Anastasia,Anastasia (1956),ISTJ,13 Pdb Votes
Baptista,The Taming of the Shrew (1929),ISTJ,10 Pdb Votes
Howard Graham,Journey into Fear (1943),ISTJ,13 Pdb Votes
Inayat Khan,Mission Kashmir (2000),ISTJ,2 Pdb Votes
Sergeant Shin Dong-chul,Memories Of Murder (2003),ISTJ,5 Pdb Votes
Dom,Rye Lane (2023),ISTJ,18 Pdb Votes
Pontius Pilate,The Miracle Maker,XXXX,1 Pdb Vote
