char,movie,mbti,votes
Guido Anselmi,8 1/2,INTP,57 Pdb Votes
Bill,It’s Such a Beautiful Day (2012),INTP,75 Pdb Votes
Sherlock Holmes,Enola Holmes (2020),INTP,769 Pdb Votes
Sonya,Madagascar (Franchise),INTP,103 Pdb Votes
Franklin Webb,Jurassic Park / Jurassic World (Film Franchise),INTP,50 Pdb Votes
Chirag Gupta,Diary of a Wimpy Kid (Series),INTP,125 Pdb Votes
The Stranger,The Big Lebowski (1998),INTP,88 Pdb Votes
Margot Tenenbaum,The Royal Tenenbaums (2001),INTP,316 Pdb Votes
Friedrich Bhaer,Little Women (2019),INTP,245 Pdb Votes
"Maximillian ""Max"" Cohen",Pi (1998),INTP,221 Pdb Votes
Ivy,Poison Ivy (1992),INTP,72 Pdb Votes
Steven Meeks,Dead Poets Society (1989),INTP,338 Pdb Votes
Weird Girl,Frankenweenie (2012),INTP,183 Pdb Votes
Chloe,The Secret Life of Pets (2016),INTP,179 Pdb Votes
Garrick Ollivander,Harry Potter / Wizarding World Films,INTP,179 Pdb Votes
Charlie Graham,Hereditary (2018),INTP,313 Pdb Votes
Esther Onakuramara,Pitch Perfect (Series),INTP,82 Pdb Votes
Aaron Rapaport,The Interview (2014),INTP,32 Pdb Votes
Marty,The Cabin in the Woods (2012),INTP,152 Pdb Votes
Kale Brecht,Disturbia (2007),INTP,64 Pdb Votes
Marlena,Cloverfield (2008),INTP,37 Pdb Votes
Ichabod Crane,Sleepy Hollow (1999),INTP,233 Pdb Votes
Nine Ball / Leslie,Ocean's 8 (2018),INTP,175 Pdb Votes
Rich Purnell,The Martian (2015),INTP,80 Pdb Votes
Evelyn O'Connell (née Carnahan) “Nefertiri”,The Mummy (Franchise),INTP,208 Pdb Votes
Mr. Bennet,Pride and Prejudice (2005),INTP,221 Pdb Votes
Joan Leaven,Cube (1997),INTP,86 Pdb Votes
Tej Parker,The Fast and the Furious (Film Franchise),INTP,76 Pdb Votes
Milo James Thatch,Atlantis: The Lost Empire (2001),INTP,734 Pdb Votes
Linus Caldwell,Ocean's Eleven Trilogy,INTP,90 Pdb Votes
David 8,Alien,INTP,193 Pdb Votes
Ariadne,Inception (2010),INTP,462 Pdb Votes
Isabelle Richard,Os Huios,XXXX,1 Pdb Vote
Jurgen Warmbrunn,World War Z (2013),INTP,2 Pdb Votes
''Caçador Criança'',ESCONDIDO,XXXX,1 Pdb Vote
"Daniel Winston ""The Trader""",White Heat (1949),INTJ,1 Pdb Vote
Charles,Separate Tables (1958),XXXX,1 Pdb Vote
yo,rgergregs,INTP,6 Pdb Votes
Thomas Pinto,Exotica (1994),INTP,10 Pdb Votes
Izumi Wataya,Even if This Love Disappears from the World Tonigh,INTP,3 Pdb Votes
Jörmungandr,How to Train Your Dragon (Franchise),XXXX,3 Pdb Votes
Lou Ford,The Killer Inside Me (2010),INTP,5 Pdb Votes
Alex Jacobs,Alien Code,INTP,8 Pdb Votes
Empusa,Stardust (2007),INTP,5 Pdb Votes
Felipe Maquirriain,La Sociedad de la Nieve (Society of the Snow),XXXX,4 Pdb Votes
Gustav von Aschenbach,Death in Venice (1971 film),XXXX,1 Pdb Vote
Jesse James,Lucky Luke,XXXX,1 Pdb Vote
Roberto Canessa,La Sociedad de la Nieve (Society of the Snow),INTP,57 Pdb Votes
Dr. Stephen Shin,Aquaman And The Lost Knigdom (2023),INTP,44 Pdb Votes
Dr. Fry,Chicken Run: Dawn of the Nugget (2023),INTP,22 Pdb Votes
Jamie Bernstein,Maestro,XXXX,1 Pdb Vote
Wyatt Walker,Family Switch,INTP,57 Pdb Votes
Jun Chow,Mars Express,XXXX,1 Pdb Vote
Tojo,The Lion King (Franchise),INTP,5 Pdb Votes
Wes Rivers,Barbie in Princess Power,INTP,6 Pdb Votes
Priest,Wonka (2023 Movie),INTP,45 Pdb Votes
Lauren Creston,Totally Killer (2023),INTP,20 Pdb Votes
Michael Gavey,Saltburn,INTP,77 Pdb Votes
Je Yeong-min,The Chaser(2008),INTP,6 Pdb Votes
Professor Bruce,Haunted Mansion (2023),INTP,31 Pdb Votes
 Chief Inspector Harley Temple,Lured (1947),INTP,6 Pdb Votes
Taki,Shin Kamen Rider,INTP,5 Pdb Votes
"Dr. Edward ""Eddie"" Jessup",Altered States (1980),XXXX,3 Pdb Votes
David Hill,Oppenheimer (2023),INTP,84 Pdb Votes
Lyosha,Vacations of Petrov and Vasechkin (1984),INTP,1 Pdb Vote
Nozomi Shirakawa,linda linda linda,INTP,9 Pdb Votes
Harry Astley,Poor Things,INTP,101 Pdb Votes
Roman Lavochkin,Could One Imagine?,XXXX,1 Pdb Vote
Jerry Day ,Now and Forever (1934),INTP,8 Pdb Votes
BX-series droid commando,Star Wars,XXXX,21 Pdb Votes
The Crow,Brave (2012),INTP,10 Pdb Votes
