char,movie,mbti,votes
Randy Carpenter,I Am Sam (2001),XXXX,5 Pdb Votes
Sam Dawson,I Am Sam (2001),ESFJ,24 Pdb Votes
Lela,Teen Beach Movie,ESFJ,94 Pdb Votes
Goldie,Sin City (franchise),ESFJ,15 Pdb Votes
Matilda,The Angry Birds Movie (2016),ESFJ,79 Pdb Votes
Lorraine Baker,Cheaper by the Dozen (Franchise),ESFJ,47 Pdb Votes
Rowley Jefferson,Diary of a Wimpy Kid (Series),ESFJ,446 Pdb Votes
Hera,Hercules (franchise),ESFJ,32 Pdb Votes
Lisa Reisert,Red Eye (2005),ESFJ,88 Pdb Votes
Leo Beebe,Ford v Ferrari / Le Mans '66 (2019),ESFJ,22 Pdb Votes
Lou,Over The Hedge (2006),ESFJ,20 Pdb Votes
Park Yeon-gyo,Parasite (2019),ESFJ,590 Pdb Votes
Robert ‘Bob’ Paulson,Fight Club (1999),ESFJ,248 Pdb Votes
Barbra,Night of the Living Dead (1968),ESFJ,38 Pdb Votes
Mrs. Nellie Lovett,Sweeney Todd: The Demon Barber of Fleet Street (2007),ESFJ,215 Pdb Votes
Kate McCallister,Home Alone,ESFJ,160 Pdb Votes
Vanessa Bloome,Bee Movie (2007),ESFJ,115 Pdb Votes
Cousin Avi,Snatch (2000),ESFJ,37 Pdb Votes
Therese Lisbon,The Virgin Suicides (2000),ESFJ,97 Pdb Votes
Sam Sparks,Cloudy with a Chance of Meatballs (2009),ESFJ,335 Pdb Votes
Buddy,Elf (2003),ESFJ,572 Pdb Votes
Chris Mannix,The Hateful Eight (2015),ESFJ,72 Pdb Votes
Sara Goldfarb,Requiem for a Dream (2000),ESFJ,312 Pdb Votes
Tammy,Ocean's 8 (2018),ESFJ,76 Pdb Votes
Lavender Brown,Harry Potter / Wizarding World Films,ESFJ,341 Pdb Votes
Bethany Walker,Jumanji (Reboot),ESFJ,178 Pdb Votes
Margaret White,Carrie (1976),ESFJ,176 Pdb Votes
Chris MacNeil,The Exorcist (1973),ESFJ,39 Pdb Votes
Mrs. Bennet,Pride and Prejudice (2005),ESFJ,215 Pdb Votes
Petunia Dursley,Harry Potter / Wizarding World Films,ESFJ,257 Pdb Votes
