char,movie,mbti,votes
Michael,Think Like a Man (2012),ISFJ,14 Pdb Votes
Smokey,High and Low,ISFJ,26 Pdb Votes
Gena,Cheburashka,ISFJ,38 Pdb Votes
Zuba,Madagascar (Franchise),ISFJ,44 Pdb Votes
Benjamín García,El Infierno (Hell),ISFJ,24 Pdb Votes
Mary Boleyn,The Other Boleyn Girl,ISFJ,47 Pdb Votes
Sina,Moana (2016),ISFJ,92 Pdb Votes
Big Baby,Toy Story (Franchise),ISFJ,82 Pdb Votes
Katie/ Erin,Safe Haven,ISFJ,30 Pdb Votes
Ann Bishop Mullany,"sex, lies, and videotape",ISFJ,20 Pdb Votes
Emperor Joseph II,Amadeus (1984),ISFJ,48 Pdb Votes
The Grand Duke,Cinderella (1950),ISFJ,92 Pdb Votes
Lord Milori,Tinker Bell (2008),ISFJ,75 Pdb Votes
Amphytryon,Hercules (franchise),ISFJ,13 Pdb Votes
Emma Robinson,Blue Lagoon: The Awakening (2012),ISFJ,32 Pdb Votes
Agent Stone,Sonic the Hedgehog (Film Series),ISFJ,174 Pdb Votes
Stephen Stills,Scott Pilgrim vs. the World (2010),ISFJ,65 Pdb Votes
Red Shoes/Snow White,Red Shoes & The Seven Dwarfs (2019),ISFJ,267 Pdb Votes
Marta Cabrera,Knives Out (2019),ISFJ,853 Pdb Votes
Specs,Insidious,ISFJ,31 Pdb Votes
Connie,Midsommar (2019),ISFJ,45 Pdb Votes
Jiminy Cricket,Pinocchio (1940),ISFJ,128 Pdb Votes
Forky,Toy Story (Franchise),ISFJ,322 Pdb Votes
Dumbo,Dumbo (1941),ISFJ,115 Pdb Votes
Iridessa,Tinker Bell (2008),ISFJ,311 Pdb Votes
Bambi's mother,Bambi (1942),ISFJ,75 Pdb Votes
Andrew Henry,The Revenant (2015),ISFJ,17 Pdb Votes
Nick Young,Crazy Rich Asians (2018),ISFJ,115 Pdb Votes
Charity Barnum,The Greatest Showman (2017),ISFJ,291 Pdb Votes
Sally Albright,When Harry Met Sally... (1989),ISFJ,229 Pdb Votes
Max Durocher,Collateral (2004),ISFJ,105 Pdb Votes
"David Dunn ""The Overseer""",Unbreakable (2000),ISFJ,117 Pdb Votes
Ed Tom Bell,No Country for Old Men (2007),ISFJ,189 Pdb Votes
Iris Simpkins,The Holiday (2006),ISFJ,148 Pdb Votes
Zero Moustafa,The Grand Budapest Hotel (2014),ISFJ,257 Pdb Votes
Melanie Hamilton,Gone with the Wind (1939),ISFJ,200 Pdb Votes
Duchess,The Aristocats (1970),ISFJ,135 Pdb Votes
Charon,John Wick,ISFJ,112 Pdb Votes
Paul Varjak,Breakfast at Tiffany's (1961),ISFJ,172 Pdb Votes
Julie Steffans,Lady Bird (2017),ISFJ,216 Pdb Votes
Dr. Arbuthnot,Murder on the Orient Express (2017),ISFJ,17 Pdb Votes
Pilar Estravados,Murder on the Orient Express (2017),ISFJ,19 Pdb Votes
Jane Bennet,Pride and Prejudice (2005),ISFJ,581 Pdb Votes
Mrs. Lovat,Coraline (2009),ISFJ,69 Pdb Votes
Olivia White,Lemonade Mouth (2011),ISFJ,233 Pdb Votes
Trusty,Lady and the Tramp (1955),ISFJ,57 Pdb Votes
Lady,Lady and the Tramp (1955),ISFJ,341 Pdb Votes
Flounder the Fish,The Little Mermaid (1989),ISFJ,272 Pdb Votes
Juror #2,12 Angry Men (1957),ISFJ,173 Pdb Votes
Primrose Everdeen,The Hunger Games (Franchise),ISFJ,420 Pdb Votes
C-3PO,Star Wars,ISFJ,993 Pdb Votes
Bilbo Baggins,The Hobbit (Film Trilogy),ISFJ,969 Pdb Votes
Paul Foote,The Beast Must Die (1974),ISFJ,10 Pdb Votes
Davina,The Beast Must Die (1974),ISFJ,9 Pdb Votes
Cynthia Winehouse,Back to Black (2024),ISFJ,7 Pdb Votes
Vee Talbot,The Fugitive Kind (1960),XXXX,1 Pdb Vote
Mr. Heron,The Ministry of Ungentlemanly Warfare (2024),ISFJ,2 Pdb Votes
Bus Driver,Sing (Franchise),XXXX,1 Pdb Vote
Willie Ainley,Smilin' Through (1932),XXXX,1 Pdb Vote
Alice Winfield,On Moonlight Bay (series),XXXX,3 Pdb Votes
Sinem,Yazgı(2001),ISFJ,2 Pdb Votes
Paula Jackson,Savage Messiah (2002),ISFJ,10 Pdb Votes
Sheraton,Lord of the Flies (1990),ISFP,1 Pdb Vote
Lesley Smith-Juniment,Hot Air (2016),XXXX,1 Pdb Vote
Phraya Bodisorn,Man Suang (2023),ESFJ,1 Pdb Vote
Zoe,Exotica (1994),ISFJ,10 Pdb Votes
Francis Brown,Exotica (1994),ISFJ,10 Pdb Votes
Joe,Disney Fairies,ISFJ,5 Pdb Votes
Charlie Stewart,Mona Lisa Smile (2003),XXXX,1 Pdb Vote
Sylvia,O Lobo Atrás Da Porta (2013),ISFJ,5 Pdb Votes
Roz,Wild Robot,ISFJ,2 Pdb Votes
Toña,Chance (2009),ISFJ,7 Pdb Votes
Peter,Vorstadtkrokodile 2,XXXX,1 Pdb Vote
Cicero,Gladiator (2000),ISFJ,2 Pdb Votes
Shadkam,Midday Adventures (Majaray Nimrooz),INFJ,1 Pdb Vote
Carlita (First Omen),The Omen (1976),ISFJ,5 Pdb Votes
Jane,Sitting in Bars with Cake (2023),ISFJ,2 Pdb Votes
Lola,Tin & Tina,ISFJ,10 Pdb Votes
Italia,La Chimera,XXXX,1 Pdb Vote
Billy,Road House (2024),ISFJ,5 Pdb Votes
Sister Mary,Immaculate (2024),ISFJ,2 Pdb Votes
Orion's Mother,Orion and the Dark (2024),XXXX,1 Pdb Vote
Afraid Young Boy,Five Nights at Freddy's (Movie),XXXX,3 Pdb Votes
Eloise Parker,The Beekeeper (2024),ISFJ,6 Pdb Votes
Perry Malinowski,Final Destination 3 (2006),ISFJ,6 Pdb Votes
"Susana ""Susy"" Parrado",La Sociedad de la Nieve (Society of the Snow),ISFJ,9 Pdb Votes
Naina,Kabhi Khushi Kabhie Gham... (2001),ISFJ,10 Pdb Votes
Stan's wife,Finding Nemo (Franchise),XXXX,1 Pdb Vote
Lidiya Pospelova,Bandit Petersburg | Бандитский Петербург,ISFJ,3 Pdb Votes
Animal-talent,Tinker Bell (2008),XXXX,4 Pdb Votes
Matsumoto Erino,Our Secret Diary (2023),ISFJ,12 Pdb Votes
Mr. Wiatt,Detachment,XXXX,7 Pdb Votes
Катя Капитонова,"Все умрут, а я останусь (2008)",ISFJ,4 Pdb Votes
Наталья Добровольская,Фишер (Fischer),ISFJ,11 Pdb Votes
The Chamaleon,Kung Fu Panda (Franchise),XXXX,1 Pdb Vote
Deok Hee,Citizen of a Kind (2024),XXXX,1 Pdb Vote
Miss Tanner,Suspiria (2018),ISFJ,9 Pdb Votes
Parthiban (Persona),Lokesh Cinemeatic Universe ( LCU),ISFJ,24 Pdb Votes
Lottie Bell,Wonka (2023 Movie),ISFJ,44 Pdb Votes
Abacus Crunch,Wonka (2023 Movie),ISFJ,35 Pdb Votes
Miss Clavel,Madeline (1998),XXXX,1 Pdb Vote
"Aña ""Anya"" Sofia Corazon ""Spider-Girl""",Spider-Man: Across the Spider-Verse (2023),XXXX,3 Pdb Votes
Mary Jo Elliott,Nope (2022),ISFJ,3 Pdb Votes
Priest Choi,The Divine Fury (2019),ISFP,1 Pdb Vote
Emma Darwin,Creation (2009 film),XXXX,1 Pdb Vote
Sora Nagase,Looking for Magical Doremi,XXXX,5 Pdb Votes
Cinderella,Wreck-It Ralph (Franchise),ISFJ,5 Pdb Votes
Dasha,Vacations of Petrov and Vasechkin (1984),INFP,1 Pdb Vote
Thomas,K-12 (2019),ISFJ,3 Pdb Votes
Dr. Carol Bennell,The Invasion,ISFJ,9 Pdb Votes
Kay Hilliard,The Opposite Sex (1956),XXXX,1 Pdb Vote
Daniel,Talk to Me,ISFJ,12 Pdb Votes
Princess Leila,Maleficent (2014),ISFJ,2 Pdb Votes
 Otto Frank ,The Diary of Anne Frank (1959),XXXX,5 Pdb Votes
Raymond K. Hessel,Fight Club (1999),ISFJ,20 Pdb Votes
Rose Marrowbone,Marrowbone (2017),ISFJ,2 Pdb Votes
Hwang In Gook,Dream,XXXX,1 Pdb Vote
Annie MacDuggan,The First Wives Club (1996),ISFJ,17 Pdb Votes
R. M. Renfield,Renfield (2023),ISFJ,117 Pdb Votes
Sombut ,Midnight My Love,ISFJ,5 Pdb Votes
Mother,Leila's Brothers,ISFJ,10 Pdb Votes
Alexia,The Ultimate Gift (2006),XXXX,1 Pdb Vote
Kurt,Megan (2023),ISFJ,8 Pdb Votes
Beau Wassermann,Beau is Afraid,ISFJ,138 Pdb Votes
Margaret,"Are You There God? It's Me, Margaret (2023)",ISFJ,56 Pdb Votes
Dorothy Quimby,Ramona and Beezus (2010),ISFJ,10 Pdb Votes
Eskandar newShahabi (esi),Once upon a time on Mars (روزی روزگاری در مریخ),ISFJ,15 Pdb Votes
Carol White,Safe (1995),ISFJ,18 Pdb Votes
Gwynne,The Pebble and the Penguin (1995),ISFJ,10 Pdb Votes
שרון,סרט אפס,ISFJ,2 Pdb Votes
Kappa,Oni: Thunder God's Tale,ISFJ,7 Pdb Votes
Devika,777 Charlie (2022),ISFJ,3 Pdb Votes
Claude Gatignol,Le Prénom (2012),ISFJ,10 Pdb Votes
Olga Stapels,Turks fruit / Turkish Delight (1973),ISFJ,9 Pdb Votes
Leah Chaudhry,Grimcutty,ISFJ,2 Pdb Votes
Bjørn,Speak No Evil (2022),ISFJ,22 Pdb Votes
Alicja,Galerianki (Mall Girls),ISFJ,19 Pdb Votes
Shwet Ketu Jha (sk),Aspirants [web series],ISFJ,6 Pdb Votes
The Baker,Cinderella (1950),ISFJ,20 Pdb Votes
