char,movie,mbti,votes
Ilene Andrews,Godzilla vs. Kong,ESTJ,31 Pdb Votes
Willy Bank,Ocean's Eleven Trilogy,ESTJ,16 Pdb Votes
Princess Genevieve,Barbie in Rock 'N Royals (2015),XXXX,17 Pdb Votes
Paul Peterson,Mr. Peabody & Sherman (2014),ESTJ,24 Pdb Votes
Scylla,MonsterVerse,ESTJ,18 Pdb Votes
Napoleon,The Aristocats (1970),ESTJ,21 Pdb Votes
"Scrapper ""Scrappy"" Doo",Scooby-Doo (2002),ESTJ,28 Pdb Votes
Clark,Good Will Hunting (1997),ESTJ,54 Pdb Votes
Kenichi Takabe,Kyua (Cure) (1997),ESTJ,28 Pdb Votes
Alex,Safe Haven,XXXX,16 Pdb Votes
John Mullany,"sex, lies, and videotape",ESTJ,12 Pdb Votes
Ching Shih,Pirates of the Caribbean,ESTJ,17 Pdb Votes
Mycroft Holmes,Enola Holmes (2020),ESTJ,272 Pdb Votes
Roberto Nascimento (Capitão Nascimento),Tropa de Elite (Franchise),ESTJ,396 Pdb Votes
Earl Devereaux,Cloudy with a Chance of Meatballs (2009),ESTJ,156 Pdb Votes
The Coachman,Pinocchio (1940),ESTJ,79 Pdb Votes
Stromboli,Pinocchio (1940),ESTJ,67 Pdb Votes
The King,Cinderella (1950),ESTJ,64 Pdb Votes
Catherine de Bourgh,Pride and Prejudice (2005),ESTJ,142 Pdb Votes
Roz,"Monsters, Inc. (2001)",ESTJ,208 Pdb Votes
Colonel Nathan R. Jessup,A Few Good Men (1992),ESTJ,86 Pdb Votes
Caroline Bingley,Pride and Prejudice (2005),ESTJ,102 Pdb Votes
Linda Drysdale,Knives Out (2019),ESTJ,238 Pdb Votes
Henry Ford II,Ford v Ferrari / Le Mans '66 (2019),ESTJ,19 Pdb Votes
Staff Sergeant Bob Barnes,Platoon (1986),ESTJ,89 Pdb Votes
Hermínia,Minha Mãe é Uma Peça (My Mom Is a Character),ESTJ,378 Pdb Votes
Audrey,Descendants (Franchise),ESTJ,404 Pdb Votes
Thomas Wake,The Lighthouse (2019),ESTJ,278 Pdb Votes
Kelly,K-12 (2019),ESTJ,192 Pdb Votes
Gladys Sharp,Over The Hedge (2006),ESTJ,111 Pdb Votes
Ken,Bee Movie (2007),ESTJ,121 Pdb Votes
Stephen Warren,Django Unchained (2012),ESTJ,237 Pdb Votes
Col. Miles Quaritch,Avatar (Franchise),ESTJ,499 Pdb Votes
Mary Poppins,Mary Poppins (1964),ESTJ,416 Pdb Votes
Captain Smek,Home (2015),ESTJ,47 Pdb Votes
Sarge,Cars (Franchise),ESTJ,71 Pdb Votes
Dorothy Vaughan,Hidden Figures (2016),ESTJ,75 Pdb Votes
Guy de Lusignan,Kingdom of Heaven (2005),ESTJ,39 Pdb Votes
Chief Powhatan,Pocahontas (1995),ESTJ,117 Pdb Votes
John Frazier,Ocean's 8 (2018),ESTJ,11 Pdb Votes
Jewel,Rio (2011),ESTJ,514 Pdb Votes
"John ""Teddy"" Gammell",Memento (2000),ESTJ,99 Pdb Votes
Chozen Toguchi,The Karate Kid (Franchise),ESTJ,56 Pdb Votes
Rosalie Hale,Twilight (Franchise),ESTJ,505 Pdb Votes
Éomer,The Lord of the Rings (Film Trilogy),ESTJ,179 Pdb Votes
Flora,Sleeping Beauty (1959),ESTJ,190 Pdb Votes
King Triton,The Little Mermaid (1989),ESTJ,334 Pdb Votes
Terry Benedict,Ocean's Eleven Trilogy,ESTJ,101 Pdb Votes
Captain Vidal,Pan's Labyrinth (2006) (El laberinto del fauno),ESTJ,164 Pdb Votes
Lord Farquaad,Shrek (Franchise),ESTJ,628 Pdb Votes
William Brandt,Mission: Impossible (Franchise),ESTJ,78 Pdb Votes
Colonel Hathi,The Jungle Book (1967),ESTJ,53 Pdb Votes
High Chancellor Sutler,V for Vendetta (2005),ESTJ,154 Pdb Votes
Alby,The Maze Runner (Film Trilogy),ESTJ,96 Pdb Votes
Stoick the Vast,How to Train Your Dragon (Franchise),ESTJ,441 Pdb Votes
Barbara,All the Colors of the Dark (1972),XXXX,1 Pdb Vote
Speed,The Odd Couple (1968),ESTJ,2 Pdb Votes
Bennington,The Beast Must Die (1974),ESTJ,10 Pdb Votes
Heinrich Luhr,The Ministry of Ungentlemanly Warfare (2024),ESTJ,2 Pdb Votes
